date,available_date,material,receiving,quantity
2025-09-11,2025-09-12,80813608,C810,10
2025-09-11,2025-09-12,80813644,C810,45
2025-09-11,2025-09-12,80813608,C810,32
2025-09-11,2025-09-12,80813644,C810,26
2025-09-11,2025-09-12,80813608,C816,25
2025-09-11,2025-09-12,80813608,C816,50
2025-09-11,2025-09-12,80813644,C816,20
2025-09-11,2025-09-13,80813608,C810,10
2025-09-11,2025-09-13,80813644,C810,45
2025-09-11,2025-09-13,80813608,C810,32
2025-09-11,2025-09-13,80813644,C810,26
2025-09-11,2025-09-13,80813608,C816,25
2025-09-11,2025-09-13,80813608,C816,50
2025-09-11,2025-09-13,80813644,C816,20
