date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-09-13,80813608,0386,C810,100,80813608|0386|C810|2025-09-13|net demand for normal|000055,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C810,20,80813644|0386|C810|2025-09-13|net demand for AO|000054,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C810,80,80813644|0386|C810|2025-09-13|net demand for AO|000054,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C810,20,80813644|0386|C810|2025-09-13|net demand for safety|000053,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C810,100,80813644|0386|C810|2025-09-13|net demand for safety|000053,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C810,63,80813644|0386|C810|2025-09-13|net demand for safety|000053,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,60,80813644|0386|C816|2025-09-13|net demand for normal|000052,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,40,80813644|0386|C816|2025-09-13|net demand for normal|000052,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,20,80813644|0386|C816|2025-09-13|net demand for AO|000051,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,60,80813644|0386|C816|2025-09-13|net demand for AO|000051,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,20,80813644|0386|C816|2025-09-13|net demand for AO|000051,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,40,80813644|0386|C816|2025-09-13|net demand for safety|000050,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,60,80813644|0386|C816|2025-09-13|net demand for safety|000050,2025-09-13,2025-09-15,delivery_shipment
2025-09-13,80813644,0386,C816,22,80813644|0386|C816|2025-09-13|net demand for safety|000050,2025-09-13,2025-09-15,delivery_shipment
