date,available_date,material,receiving,quantity
2025-09-13,2025-09-14,80813644,C816,40
2025-09-13,2025-09-14,80813644,C816,20
2025-09-13,2025-09-14,80813608,C816,50
2025-09-13,2025-09-14,80813644,C816,60
2025-09-13,2025-09-14,80813608,C816,50
2025-09-13,2025-09-14,80813644,C816,22
2025-09-13,2025-09-14,80813608,C816,47
2025-09-13,2025-09-14,80813644,C810,100
2025-09-13,2025-09-14,80813608,C810,100
2025-09-13,2025-09-14,80813644,C810,80
2025-09-13,2025-09-14,80813608,C810,25
2025-09-13,2025-09-14,80813644,C810,93
2025-09-13,2025-09-14,80813608,C810,83
2025-09-13,2025-09-15,80813608,C810,100
2025-09-13,2025-09-15,80813644,C810,80
2025-09-13,2025-09-15,80813644,C810,63
2025-09-13,2025-09-15,80813644,C816,40
2025-09-13,2025-09-15,80813644,C816,20
2025-09-13,2025-09-15,80813644,C816,22
