date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|net demand for normal|000039,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,40,80813644|0386|C816|2025-09-12|net demand for normal|000039,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,20,80813644|0386|C816|2025-09-12|net demand for AO|000038,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|net demand for AO|000038,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,20,80813644|0386|C816|2025-09-12|net demand for AO|000038,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C816,50,80813608|0386|C816|2025-09-12|net demand for AO|000043,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C816,50,80813608|0386|C816|2025-09-12|net demand for AO|000043,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,20,80813644|0386|C816|2025-09-12|net demand for safety|000037,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|net demand for safety|000037,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|net demand for safety|000037,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|net demand for safety|000037,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C816,75,80813608|0386|C816|2025-09-12|net demand for safety|000042,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C816,75,80813608|0386|C816|2025-09-12|net demand for safety|000042,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C816,50,80813608|0386|C816|2025-09-12|net demand for safety|000042,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,20,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
