date,available_date,material,receiving,quantity
2025-09-08,2025-09-09,80813644,C810,100
2025-09-08,2025-09-09,80813608,C810,10
2025-09-08,2025-09-09,80813644,C810,8
2025-09-08,2025-09-09,80813608,C810,100
2025-09-08,2025-09-09,80813644,C816,40
2025-09-08,2025-09-09,80813608,C816,75
2025-09-08,2025-09-09,80813644,C816,40
2025-09-08,2025-09-09,80813608,C816,75
2025-09-08,2025-09-10,80813644,C810,37
2025-09-08,2025-09-10,80813608,C810,57
2025-09-08,2025-09-10,80813644,C810,46
2025-09-08,2025-09-10,80813608,C810,33
2025-09-08,2025-09-10,80813644,C816,40
2025-09-08,2025-09-10,80813608,C816,75
2025-09-08,2025-09-10,80813644,C816,40
2025-09-08,2025-09-10,80813608,C816,75
