date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-10-07,8078436901,C816,D767,30,8078436901|C816|D767|2025-10-06|net demand for normal|000021,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784369,C816,D767,355,80784369|C816|D767|2025-10-06|net demand for normal|000013,2025-10-07,2025-10-11,delivery_shipment
2025-10-07,80784376,C816,D767,934,80784376|C816|D767|2025-10-06|net demand for normal|000036,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784368,C816,D767,3,80784368|C816|D767|2025-10-07|net demand for normal|000076,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,8078436901,C816,D767,27,8078436901|C816|D767|2025-10-07|net demand for normal|000095,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784369,C816,D767,266,80784369|C816|D767|2025-10-07|net demand for normal|000083,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784376,C816,D767,678,80784376|C816|D767|2025-10-07|net demand for normal|000113,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80786340,C816,D767,122,80786340|C816|D767|2025-10-07|net demand for normal|000116,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,8079964701,C816,D767,1,8079964701|C816|D767|2025-10-07|net demand for normal|000145,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,8078436901,C816,D767,21,8078436901|C816|D767|2025-10-06|net demand for AO|000020,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784369,C816,D767,21,80784369|C816|D767|2025-10-06|net demand for AO|000012,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784376,C816,D767,49,80784376|C816|D767|2025-10-06|net demand for AO|000035,2025-10-07,2025-10-11,delivery_shipment
2025-10-07,80784368,C816,D767,1,80784368|C816|D767|2025-10-07|net demand for AO|000066,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784368,C816,D767,1,80784368|C816|D767|2025-10-07|net demand for AO|000067,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,8078436901,C816,D767,19,8078436901|C816|D767|2025-10-07|net demand for AO|000093,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,8078436901,C816,D767,21,8078436901|C816|D767|2025-10-07|net demand for AO|000094,2025-10-07,2025-10-10,delivery_shipment
2025-10-07,80784369,C816,D767,16,80784369|C816|D767|2025-10-07|net demand for AO|000081,2025-10-07,2025-10-10,delivery_shipment
