date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-10-08,80845182,A888,A672,301,80845182|A888|A672|2025-10-08|net demand for normal|000420,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,61,80845182|A888|A672|2025-10-08|net demand for net demand for normal|000418,2025-10-08,2025-10-16,delivery_shipment
2025-10-08,80845182,A888,A672,160,80845182|A888|A672|2025-10-08|net demand for net demand for normal|000419,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,41,80845182|A888|A672|2025-10-08|net demand for AO|000369,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,42,80845182|A888|A672|2025-10-08|net demand for AO|000370,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,44,80845182|A888|A672|2025-10-08|net demand for AO|000371,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,6,80845182|A888|A672|2025-10-08|net demand for net demand for AO|000412,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,6,80845182|A888|A672|2025-10-08|net demand for net demand for AO|000413,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,6,80845182|A888|A672|2025-10-08|net demand for net demand for AO|000414,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,9,80845182|A888|A672|2025-10-08|net demand for net demand for AO|000415,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,9,80845182|A888|A672|2025-10-08|net demand for net demand for AO|000416,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,9,80845182|A888|A672|2025-10-08|net demand for net demand for AO|000417,2025-10-08,2025-10-16,delivery_shipment
2025-10-08,80845182,A888,A672,43,80845182|A888|A672|2025-10-08|net demand for forecast|000372,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,53,80845182|A888|A672|2025-10-08|net demand for forecast|000373,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,53,80845182|A888|A672|2025-10-08|net demand for forecast|000374,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,53,80845182|A888|A672|2025-10-08|net demand for forecast|000375,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,54,80845182|A888|A672|2025-10-08|net demand for forecast|000376,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,54,80845182|A888|A672|2025-10-08|net demand for forecast|000377,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,54,80845182|A888|A672|2025-10-08|net demand for forecast|000378,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,54,80845182|A888|A672|2025-10-08|net demand for forecast|000379,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000380,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000381,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000382,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000383,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000384,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000385,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,68,80845182|A888|A672|2025-10-08|net demand for forecast|000386,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,77,80845182|A888|A672|2025-10-08|net demand for forecast|000387,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,77,80845182|A888|A672|2025-10-08|net demand for forecast|000388,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,77,80845182|A888|A672|2025-10-08|net demand for forecast|000389,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,77,80845182|A888|A672|2025-10-08|net demand for forecast|000390,2025-10-08,2025-10-15,delivery_shipment
2025-10-08,80845182,A888,A672,77,80845182|A888|A672|2025-10-08|net demand for forecast|000391,2025-10-08,2025-10-15,delivery_shipment
