material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
80784369,C816,C563,2025-10-06,1,net demand for AO,80784369|C816|C563|2025-10-06|net demand for AO|000010
80784369,C816,C563,2025-10-06,19,net demand for normal,80784369|C816|C563|2025-10-06|net demand for normal|000011
80784369,C816,E295,2025-10-06,4,net demand for AO,80784369|C816|E295|2025-10-06|net demand for AO|000014
80784369,C816,E295,2025-10-06,28,net demand for normal,80784369|C816|E295|2025-10-06|net demand for normal|000015
80784369,C816,E467,2025-10-06,1,net demand for AO,80784369|C816|E467|2025-10-06|net demand for AO|000016
80784369,C816,E467,2025-10-06,2,net demand for normal,80784369|C816|E467|2025-10-06|net demand for normal|000017
8078436901,C816,C563,2025-10-06,1,net demand for AO,8078436901|C816|C563|2025-10-06|net demand for AO|000018
8078436901,C816,C563,2025-10-06,5,net demand for normal,8078436901|C816|C563|2025-10-06|net demand for normal|000019
8078436901,C816,E295,2025-10-06,4,net demand for AO,8078436901|C816|E295|2025-10-06|net demand for AO|000022
8078436901,C816,E295,2025-10-06,73,net demand for normal,8078436901|C816|E295|2025-10-06|net demand for normal|000023
8078436901,C816,E467,2025-10-06,1,net demand for AO,8078436901|C816|E467|2025-10-06|net demand for AO|000024
8078436901,C816,E467,2025-10-06,12,net demand for normal,8078436901|C816|E467|2025-10-06|net demand for normal|000025
80799645,C816,C563,2025-10-06,4,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000037
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000038
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000039
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000040
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000041
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000042
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000043
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000044
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000045
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000046
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000047
80799645,C816,C563,2025-10-06,52,net demand for safety,80799645|C816|C563|2025-10-06|net demand for safety|000048
80799647,C816,C563,2025-10-06,2,net demand for AO,80799647|C816|C563|2025-10-06|net demand for AO|000050
8079964701,C816,C563,2025-10-06,2,net demand for AO,8079964701|C816|C563|2025-10-06|net demand for AO|000051
8079964701,C816,C563,2025-10-06,14,net demand for normal,8079964701|C816|C563|2025-10-06|net demand for normal|000052
80784368,C816,C563,2025-10-07,6,net demand for safety,80784368|C816|C563|2025-10-07|net demand for safety|000065
80784369,C816,C563,2025-10-07,1,net demand for AO,80784369|C816|C563|2025-10-07|net demand for AO|000078
80784369,C816,C563,2025-10-07,1,net demand for AO,80784369|C816|C563|2025-10-07|net demand for AO|000079
80784369,C816,C563,2025-10-07,18,net demand for normal,80784369|C816|C563|2025-10-07|net demand for normal|000080
80784369,C816,E295,2025-10-07,4,net demand for AO,80784369|C816|E295|2025-10-07|net demand for AO|000084
80784369,C816,E295,2025-10-07,4,net demand for AO,80784369|C816|E295|2025-10-07|net demand for AO|000085
80784369,C816,E295,2025-10-07,27,net demand for normal,80784369|C816|E295|2025-10-07|net demand for normal|000086
80784369,C816,E467,2025-10-07,1,net demand for AO,80784369|C816|E467|2025-10-07|net demand for AO|000087
80784369,C816,E467,2025-10-07,1,net demand for AO,80784369|C816|E467|2025-10-07|net demand for AO|000088
80784369,C816,E467,2025-10-07,2,net demand for normal,80784369|C816|E467|2025-10-07|net demand for normal|000089
8078436901,C816,C563,2025-10-07,1,net demand for AO,8078436901|C816|C563|2025-10-07|net demand for AO|000090
8078436901,C816,C563,2025-10-07,1,net demand for AO,8078436901|C816|C563|2025-10-07|net demand for AO|000091
8078436901,C816,C563,2025-10-07,5,net demand for normal,8078436901|C816|C563|2025-10-07|net demand for normal|000092
8078436901,C816,E295,2025-10-07,4,net demand for AO,8078436901|C816|E295|2025-10-07|net demand for AO|000096
8078436901,C816,E295,2025-10-07,4,net demand for AO,8078436901|C816|E295|2025-10-07|net demand for AO|000097
8078436901,C816,E295,2025-10-07,66,net demand for normal,8078436901|C816|E295|2025-10-07|net demand for normal|000098
8078436901,C816,E467,2025-10-07,1,net demand for AO,8078436901|C816|E467|2025-10-07|net demand for AO|000099
8078436901,C816,E467,2025-10-07,1,net demand for AO,8078436901|C816|E467|2025-10-07|net demand for AO|000100
8078436901,C816,E467,2025-10-07,12,net demand for normal,8078436901|C816|E467|2025-10-07|net demand for normal|000101
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000117
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000118
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000119
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000120
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000121
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000122
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000123
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000124
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000125
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000126
80799645,C816,C563,2025-10-07,1,net demand for forecast,80799645|C816|C563|2025-10-07|net demand for forecast|000127
80799645,C816,C563,2025-10-07,7,net demand for safety,80799645|C816|C563|2025-10-07|net demand for safety|000128
80799647,C816,C563,2025-10-07,2,net demand for AO,80799647|C816|C563|2025-10-07|net demand for AO|000138
80799647,C816,C563,2025-10-07,2,net demand for AO,80799647|C816|C563|2025-10-07|net demand for AO|000139
8079964701,C816,C563,2025-10-07,2,net demand for AO,8079964701|C816|C563|2025-10-07|net demand for AO|000140
8079964701,C816,C563,2025-10-07,2,net demand for AO,8079964701|C816|C563|2025-10-07|net demand for AO|000141
8079964701,C816,C563,2025-10-07,15,net demand for normal,8079964701|C816|C563|2025-10-07|net demand for normal|000142
80784368,C816,C563,2025-10-08,20,net demand for safety,80784368|C816|C563|2025-10-08|net demand for safety|000218
80784368,C816,D767,2025-10-08,1,net demand for AO,80784368|C816|D767|2025-10-08|net demand for AO|000219
80784368,C816,D767,2025-10-08,1,net demand for AO,80784368|C816|D767|2025-10-08|net demand for AO|000220
80784368,C816,D767,2025-10-08,1,net demand for AO,80784368|C816|D767|2025-10-08|net demand for AO|000221
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000222
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000223
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000224
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000225
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000226
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000227
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000228
80784368,C816,D767,2025-10-08,2,net demand for forecast,80784368|C816|D767|2025-10-08|net demand for forecast|000229
80784368,C816,D767,2025-10-08,3,net demand for normal,80784368|C816|D767|2025-10-08|net demand for normal|000230
80784368,C816,D767,2025-10-08,6,net demand for safety,80784368|C816|D767|2025-10-08|net demand for safety|000231
80784369,C816,C563,2025-10-08,1,net demand for AO,80784369|C816|C563|2025-10-08|net demand for AO|000232
80784369,C816,C563,2025-10-08,1,net demand for AO,80784369|C816|C563|2025-10-08|net demand for AO|000233
80784369,C816,C563,2025-10-08,1,net demand for AO,80784369|C816|C563|2025-10-08|net demand for AO|000234
80784369,C816,C563,2025-10-08,6,net demand for normal,80784369|C816|C563|2025-10-08|net demand for normal|000235
80784369,C816,D767,2025-10-08,11,net demand for AO,80784369|C816|D767|2025-10-08|net demand for AO|000236
80784369,C816,D767,2025-10-08,12,net demand for AO,80784369|C816|D767|2025-10-08|net demand for AO|000237
80784369,C816,D767,2025-10-08,14,net demand for AO,80784369|C816|D767|2025-10-08|net demand for AO|000238
80784369,C816,D767,2025-10-08,74,net demand for normal,80784369|C816|D767|2025-10-08|net demand for normal|000239
80784369,C816,E295,2025-10-08,4,net demand for AO,80784369|C816|E295|2025-10-08|net demand for AO|000240
80784369,C816,E295,2025-10-08,4,net demand for AO,80784369|C816|E295|2025-10-08|net demand for AO|000241
80784369,C816,E295,2025-10-08,4,net demand for AO,80784369|C816|E295|2025-10-08|net demand for AO|000242
