date,material,location,quantity
2025-10-09,80784365,A668,0
2025-10-09,80784365,A680,0
2025-10-09,80784365,C563,0
2025-10-09,80784365,C816,0
2025-10-09,80784365,C937,0
2025-10-09,80784365,D191,0
2025-10-09,80784365,D767,0
2025-10-09,80784365,E295,0
2025-10-09,80784365,E467,0
2025-10-09,80784366,A668,0
2025-10-09,80784366,A680,1288
2025-10-09,80784366,C563,196
2025-10-09,80784366,C816,2097
2025-10-09,80784366,C937,0
2025-10-09,80784366,D191,882
2025-10-09,80784366,D767,369
2025-10-09,80784366,E295,320
2025-10-09,80784366,E467,110
2025-10-09,80784368,A668,3736
2025-10-09,80784368,A680,2529
2025-10-09,80784368,C563,194
2025-10-09,80784368,C816,11120
2025-10-09,80784368,C937,0
2025-10-09,80784368,D191,0
2025-10-09,80784368,D767,0
2025-10-09,80784368,E295,0
2025-10-09,80784368,E467,0
2025-10-09,80784369,A668,1400
2025-10-09,80784369,A680,298
2025-10-09,80784369,C563,0
2025-10-09,80784369,C816,467
2025-10-09,80784369,C937,0
2025-10-09,80784369,D191,0
2025-10-09,80784369,D767,0
2025-10-09,80784369,E295,0
2025-10-09,80784369,E467,0
2025-10-09,80784370,A668,2812
2025-10-09,80784370,A680,3861
2025-10-09,80784370,C563,316
2025-10-09,80784370,C816,5568
2025-10-09,80784370,C937,0
2025-10-09,80784370,D191,0
2025-10-09,80784370,D767,4
2025-10-09,80784370,E295,0
2025-10-09,80784370,E467,0
2025-10-09,80784376,A668,841
2025-10-09,80784376,A680,1263
2025-10-09,80784376,C563,262
2025-10-09,80784376,C816,2790
2025-10-09,80784376,C937,0
2025-10-09,80784376,D191,699
2025-10-09,80784376,D767,0
2025-10-09,80784376,E295,497
2025-10-09,80784376,E467,0
2025-10-09,80784377,A668,0
2025-10-09,80784377,A680,0
2025-10-09,80784377,C563,0
2025-10-09,80784377,C816,0
2025-10-09,80784377,C937,0
2025-10-09,80784377,D191,0
2025-10-09,80784377,D767,0
2025-10-09,80784377,E295,0
2025-10-09,80784377,E467,0
2025-10-09,80784379,A668,0
2025-10-09,80784379,A672,0
2025-10-09,80784379,A673,0
2025-10-09,80784379,A680,0
2025-10-09,80784379,A715,0
2025-10-09,80784379,A716,0
2025-10-09,80784379,C563,0
2025-10-09,80784379,C816,0
2025-10-09,80784379,C819,0
2025-10-09,80784379,C937,0
2025-10-09,80784379,D191,0
2025-10-09,80784379,D767,0
2025-10-09,80784379,E295,0
2025-10-09,80784379,E467,0
2025-10-09,80786340,A668,0
2025-10-09,80786340,A680,1548
2025-10-09,80786340,C563,18
2025-10-09,80786340,C816,1299
2025-10-09,80786340,C937,0
2025-10-09,80786340,D191,1004
2025-10-09,80786340,D767,0
2025-10-09,80786340,E295,224
2025-10-09,80786340,E467,112
2025-10-09,80799645,A668,653
2025-10-09,80799645,A680,1895
2025-10-09,80799645,C563,41
2025-10-09,80799645,C816,5564
2025-10-09,80799645,C937,0
2025-10-09,80799645,D191,0
2025-10-09,80799645,D767,170
2025-10-09,80799645,E295,0
2025-10-09,80799645,E467,0
2025-10-09,80799646,A668,3323
2025-10-09,80799646,A680,2990
