date,dev_inventory,src_inventory,diff,diff_pct
2025-10-06,335181,334671,-510,-0.1521565959884361
2025-10-07,318769,346343,27574,8.650151049819774
2025-10-08,333018,326865,-6153,-1.8476478748896457
2025-10-09,316345,324868,8523,2.694210434810097
2025-10-10,319539,317868,-1671,-0.5229408616788561
2025-10-11,301295,308512,7217,2.3953268391443605
2025-10-12,289681,306005,16324,5.635164197859025
2025-10-13,290496,317058,26562,9.14367151354924
2025-10-14,305354,336025,30671,10.044407474603249
2025-10-15,323694,339113,15419,4.763449430635106
2025-10-16,330898,348022,17124,5.175008612926037
2025-10-17,342467,356510,14043,4.100541074030491
2025-10-18,348504,363975,15471,4.439260381516425
2025-10-19,355001,379425,24424,6.879980619772902
2025-10-20,356970,388137,31167,8.73098579712581
2025-10-21,377684,401027,23343,6.1805636457991335
2025-10-22,386686,435270,48584,12.564199376238086
2025-10-23,427143,445257,18114,4.240734367647369
2025-10-24,443752,457432,13680,3.0828030070850385
2025-10-25,450588,457565,6977,1.5484211741102738
2025-10-26,460286,469826,9540,2.0726244117787633
2025-10-27,462968,474664,11696,2.5263085137633703
2025-10-28,475856,491058,15202,3.1946639319457986
2025-10-29,478409,490737,12328,2.57687459893104
2025-10-30,486564,473222,-13342,-2.7420853166284394
2025-10-31,479508,465147,-14361,-2.9949448184388996
2025-11-01,475774,463162,-12612,-2.650838423285005
2025-11-02,470276,457507,-12769,-2.7152140445185378
2025-11-03,460794,449633,-11161,-2.4221235519559716
2025-11-04,451663,437257,-14406,-3.1895461881978378
2025-11-05,432560,425870,-6690,-1.5466062511559089
2025-11-06,417955,424042,6087,1.4563768826787573
2025-11-07,419722,416057,-3665,-0.8731970208852526
2025-11-08,409919,415971,6052,1.476389237873824
2025-11-09,412253,406074,-6179,-1.4988368792949962
2025-11-10,404105,407842,3737,0.9247596540503087
2025-11-11,397737,416842,19105,4.8034253790821575
2025-11-12,401547,416623,15076,3.7544795503390636
2025-11-13,404136,415318,11182,2.7668903537423044
2025-11-14,397513,405141,7628,1.9189309532015304
2025-11-15,390797,393956,3159,0.8083480681786196
2025-11-16,379356,392344,12988,3.423697002288088
2025-11-17,393422,390859,-2563,-0.6514633142020528
2025-11-18,392467,383227,-9240,-2.3543380717359677
2025-11-19,396874,379808,-17066,-4.300105323100026
2025-11-20,394977,383694,-11283,-2.8566220311562445
2025-11-21,392020,391830,-190,-0.04846691495331871
2025-11-22,396008,399873,3865,0.9759903840326458
2025-11-23,398459,397320,-1139,-0.28585124190945616
2025-11-24,382478,388785,6307,1.6489837323976804
2025-11-25,373715,393379,19664,5.261763643418113
2025-11-26,381654,410198,28544,7.479025504776578
2025-11-27,394086,405817,11731,2.976761417558604
2025-11-28,398075,388014,-10061,-2.527413175909062
2025-11-29,384534,377930,-6604,-1.7174034025599818
2025-11-30,378518,378649,131,0.03460865797663519
2025-12-01,379214,376339,-2875,-0.7581471148217102
2025-12-02,377219,362306,-14913,-3.9534063766671355
2025-12-03,372102,350317,-21785,-5.854577508317612
2025-12-04,358883,337858,-21025,-5.858455262578612
2025-12-05,345469,327969,-17500,-5.065577519256431
2025-12-06,332875,324743,-8132,-2.4429590687194893
2025-12-07,334838,315156,-19682,-5.878066408233235
2025-12-08,320265,309126,-11139,-3.4780572338532156
2025-12-09,315982,305948,-10034,-3.175497338455988
2025-12-10,317359,309614,-7745,-2.4404538708528825
2025-12-11,330207,322915,-7292,-2.2083117559591408
2025-12-12,336158,332835,-3323,-0.9885232539460611
2025-12-13,352930,355132,2202,0.6239197574589862
2025-12-14,371612,360503,-11109,-2.9894083075896365
2025-12-15,374368,367842,-6526,-1.7432045473972135
2025-12-16,378212,389175,10963,2.898638858629552
2025-12-17,387398,389102,1704,0.43985771738625395
2025-12-18,387315,382857,-4458,-1.1510011231168429
2025-12-19,380125,372640,-7485,-1.9690891154225583
2025-12-20,374596,368498,-6098,-1.62788711038025
2025-12-21,375213,377322,2109,0.5620807381407361
2025-12-22,369570,372493,2923,0.7909191763400708
2025-12-23,359413,360677,1264,0.351684552311686
2025-12-24,360764,359640,-1124,-0.31156102050093687
2025-12-25,343054,364001,20947,6.106035784453759
2025-12-26,355167,381214,26047,7.333733145252797
2025-12-27,377576,385492,7916,2.0965315592092715
2025-12-28,380757,385881,5124,1.3457401965032816
2025-12-29,386386,395115,8729,2.259139823906663
2025-12-30,394611,396489,1878,0.47591172065654536
