material,location,available_date,quantity
80784365,A888,2025-10-08,25208
80784365,A888,2025-10-09,25290
80784365,A888,2025-10-10,6712
80784366,A888,2025-10-11,12737
80784366,A888,2025-10-12,5655
80784368,A888,2025-10-14,15534
80784368,A888,2025-10-15,8130
80784369,A888,2025-10-12,6187
80784369,A888,2025-10-13,5305
80784370,A888,2025-10-22,717
80784376,A888,2025-10-21,9350
80784376,A888,2025-10-22,12662
80784377,A888,2025-10-10,11308
80784377,A888,2025-10-11,7769
80784377,A888,2025-10-12,7830
80784377,A888,2025-10-13,3718
80784379,A888,2025-10-15,2654
80784379,A888,2025-10-16,6557
80784379,A888,2025-10-17,3542
80786340,A888,2025-10-15,4521
80786340,A888,2025-10-16,7851
80799646,A888,2025-10-17,10514
80799647,A888,2025-10-13,8889
80799648,A888,2025-10-13,8558
80799648,A888,2025-10-14,6905
80804077,A888,2025-10-13,523
80804077,A888,2025-10-14,1779
80804078,A888,2025-10-14,12587
80804078,A888,2025-10-15,2595
80804079,A888,2025-10-17,4873
8084232501,A888,2025-10-19,9565
8084232501,A888,2025-10-20,4688
80842328,A888,2025-10-19,19822
80842328,A888,2025-10-20,5602
80842331,A888,2025-10-17,7645
80842331,A888,2025-10-18,8200
80842334,A888,2025-10-23,5889
80842335,A888,2025-10-18,5784
80842336,A888,2025-10-18,875
80842336,A888,2025-10-19,2869
80842337,A888,2025-10-20,4062
80842338,A888,2025-10-23,3020
8084233901,A888,2025-10-20,1666
80842340,A888,2025-10-20,4016
8084234201,A888,2025-10-20,2252
8084340301,A888,2025-10-20,3270
80843405,A888,2025-10-17,6216
80843405,A888,2025-10-18,23673
80843405,A888,2025-10-19,3553
80845182,A888,2025-10-08,42806
80845182,A888,2025-10-09,42262
80845184,A888,2025-10-10,34998
80845184,A888,2025-10-11,2799
80845590,A888,2025-10-20,2569
80845590,A888,2025-10-21,1156
80845594,A888,2025-10-19,1158
80845595,A888,2025-10-23,1154
80858064,A888,2025-10-21,2002
8085806701,A888,2025-10-20,2214
80858069,A888,2025-10-17,2045
80858072,A888,2025-10-19,1949
80858075,A888,2025-10-15,6913
80858076,A888,2025-10-14,1669
80880379,A888,2025-10-21,2175
