date,material,receiving,quantity,ori_deployment_uid,vehicle_uid,actual_ship_date
2025-10-10,80784369,D767,355,80784369|C816|D767|2025-10-06|net demand for normal|000013,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784376,D767,934,80784376|C816|D767|2025-10-06|net demand for normal|000036,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784368,D767,3,80784368|C816|D767|2025-10-07|net demand for normal|000076,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784369,D767,266,80784369|C816|D767|2025-10-07|net demand for normal|000083,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,8078436901,D767,27,8078436901|C816|D767|2025-10-07|net demand for normal|000095,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784376,D767,678,80784376|C816|D767|2025-10-07|net demand for normal|000113,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80786340,D767,122,80786340|C816|D767|2025-10-07|net demand for normal|000116,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,8079964701,D767,1,8079964701|C816|D767|2025-10-07|net demand for normal|000145,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784369,D767,21,80784369|C816|D767|2025-10-06|net demand for AO|000012,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,8078436901,D767,21,8078436901|C816|D767|2025-10-06|net demand for AO|000020,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784368,D767,1,80784368|C816|D767|2025-10-07|net demand for AO|000066,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784368,D767,1,80784368|C816|D767|2025-10-07|net demand for AO|000067,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784369,D767,16,80784369|C816|D767|2025-10-07|net demand for AO|000081,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784369,D767,18,80784369|C816|D767|2025-10-07|net demand for AO|000082,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,8078436901,D767,19,8078436901|C816|D767|2025-10-07|net demand for AO|000093,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,8078436901,D767,21,8078436901|C816|D767|2025-10-07|net demand for AO|000094,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784376,D767,36,80784376|C816|D767|2025-10-07|net demand for AO|000111,20251007-C816-D767-SMALL-#1,2025-10-07
2025-10-10,80784376,D767,39,80784376|C816|D767|2025-10-07|net demand for AO|000112,20251007-C816-D767-SMALL-#1,2025-10-07
