date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-10-10,80784365,A888,A668,172,80784365|A888|A668|2025-10-10|net demand for normal|001038,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784377,A888,A668,207,80784377|A888|A668|2025-10-10|net demand for normal|001107,2025-10-10,2025-10-15,delivery_shipment
2025-10-10,80784365,A888,A668,13,80784365|A888|A668|2025-10-10|net demand for AO|001013,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784365,A888,A668,14,80784365|A888|A668|2025-10-10|net demand for AO|001014,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784365,A888,A668,15,80784365|A888|A668|2025-10-10|net demand for AO|001015,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784365,A888,A668,15,80784365|A888|A668|2025-10-10|net demand for AO|001016,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784365,A888,A668,16,80784365|A888|A668|2025-10-10|net demand for AO|001017,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784377,A888,A668,20,80784377|A888|A668|2025-10-10|net demand for AO|001102,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784377,A888,A668,20,80784377|A888|A668|2025-10-10|net demand for AO|001103,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784377,A888,A668,20,80784377|A888|A668|2025-10-10|net demand for AO|001104,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784377,A888,A668,20,80784377|A888|A668|2025-10-10|net demand for AO|001105,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784377,A888,A668,20,80784377|A888|A668|2025-10-10|net demand for AO|001106,2025-10-10,2025-10-15,delivery_shipment
2025-10-10,80784365,A888,A668,13,80784365|A888|A668|2025-10-09|net demand for forecast|000596,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784365,A888,A668,382,80784365|A888|A668|2025-10-09|net demand for forecast|000597,2025-10-10,2025-10-14,delivery_shipment
2025-10-10,80784365,A888,A668,383,80784365|A888|A668|2025-10-09|net demand for forecast|000598,2025-10-10,2025-10-14,delivery_shipment
