date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-10-10,80804077,D767,59,0,0,5,0.0,54,54.0,0.0
2025-10-10,80842325,C816,3390,0,0,317,0.0,3073,3073.0,0.0
2025-10-10,80784369,D767,0,0,676,115,0.0,561,561.0,0.0
2025-10-10,80845182,D767,423,0,0,26,0.0,397,397.0,0.0
2025-10-10,8084233901,D767,29,0,15,7,0.0,37,37.0,0.0
2025-10-10,80784366,C563,196,0,0,0,0.0,196,196.0,0.0
2025-10-10,80880374,A680,882,0,0,0,0.0,882,882.0,0.0
2025-10-10,8084340301,A668,3690,0,0,173,0.0,3517,3517.0,0.0
2025-10-10,80842342,D191,264,0,0,10,0.0,254,254.0,0.0
2025-10-10,80858064,A668,662,0,0,36,0.0,626,626.0,0.0
2025-10-10,80880374,A668,1681,0,0,8,0.0,1673,1673.0,0.0
2025-10-10,80786340,C563,18,0,0,12,0.0,6,6.0,0.0
2025-10-10,80842328,D191,207,0,0,77,0.0,130,130.0,0.0
2025-10-10,80845182,A668,4423,0,0,146,0.0,4277,4277.0,0.0
2025-10-10,8084233901,A668,390,0,0,46,0.0,344,344.0,0.0
2025-10-10,80784376,C563,262,0,0,63,0.0,199,199.0,0.0
2025-10-10,8078436901,D767,0,0,88,88,0.0,0,0.0,0.0
2025-10-10,80799645,C563,41,0,0,17,0.0,24,24.0,0.0
2025-10-10,8078436601,C563,196,0,0,0,0.0,196,196.0,0.0
2025-10-10,80845182,A888,11506,0,0,287,2558.0,8661,8661.0,0.0
2025-10-10,80784366,D767,369,0,0,12,0.0,357,357.0,0.0
2025-10-10,80799646,C816,2650,0,0,433,0.0,2217,2217.0,0.0
2025-10-10,80842342,A680,24,0,0,0,0.0,24,24.0,0.0
2025-10-10,80842340,A680,912,0,0,0,0.0,912,912.0,0.0
2025-10-10,80804079,D191,231,0,0,4,0.0,227,227.0,0.0
2025-10-10,80858069,C816,3411,0,0,275,0.0,3136,3136.0,0.0
2025-10-10,80842340,A668,718,0,0,133,0.0,585,585.0,0.0
2025-10-10,80799647,A680,529,0,0,0,0.0,529,529.0,0.0
2025-10-10,80842328,A680,7836,0,0,0,0.0,7836,7836.0,0.0
2025-10-10,80842339,D191,14,0,0,5,0.0,9,9.0,0.0
2025-10-10,80786340,D767,0,0,183,117,0.0,66,66.0,0.0
2025-10-10,80843405,A680,377,0,0,73,0.0,304,304.0,0.0
2025-10-10,80784376,D767,0,0,1687,0,0.0,1687,1687.0,0.0
2025-10-10,80842328,A668,2605,0,0,708,0.0,1897,1897.0,0.0
2025-10-10,80784368,A680,2529,0,0,0,0.0,2529,2529.0,0.0
2025-10-10,80799645,D767,170,0,140,18,0.0,292,292.0,0.0
2025-10-10,8078436601,D767,360,0,0,18,0.0,342,342.0,0.0
2025-10-10,80858074,A668,1500,0,0,104,0.0,1396,1396.0,0.0
2025-10-10,80784368,A668,3736,0,0,1398,0.0,2338,2338.0,0.0
2025-10-10,8084232501,D191,22,0,0,22,0.0,0,0.0,0.0
2025-10-10,8079964701,D767,0,0,5,5,0.0,0,0.0,0.0
2025-10-10,80842338,D767,50,0,0,4,0.0,46,46.0,0.0
2025-10-10,8080407701,D767,67,0,0,6,0.0,61,61.0,0.0
2025-10-10,80845184,C816,2399,0,0,51,0.0,2348,2348.0,0.0
2025-10-10,80804079,A680,1120,0,0,0,0.0,1120,1120.0,0.0
2025-10-10,80784376,A668,841,0,0,467,0.0,374,374.0,0.0
2025-10-10,80804079,A668,3567,0,0,495,0.0,3072,3072.0,0.0
2025-10-10,80858067,A680,941,0,0,0,0.0,941,941.0,0.0
2025-10-10,80880379,A680,1470,0,0,0,0.0,1470,1470.0,0.0
2025-10-10,80858067,A668,764,0,0,18,0.0,746,746.0,0.0
2025-10-10,80842339,A680,811,0,0,0,0.0,811,811.0,0.0
2025-10-10,80880379,A668,3225,0,0,43,0.0,3182,3182.0,0.0
2025-10-10,8085806701,A680,941,0,0,0,0.0,941,941.0,0.0
2025-10-10,80842325,A680,3267,0,0,0,0.0,3267,3267.0,0.0
2025-10-10,80842325,A668,3798,0,0,518,0.0,3280,3280.0,0.0
2025-10-10,80842342,C563,59,0,0,6,0.0,53,53.0,0.0
2025-10-10,80784370,C816,5568,0,0,319,0.0,5249,5249.0,0.0
2025-10-10,80842334,C816,9279,0,0,341,0.0,8938,8938.0,0.0
2025-10-10,8085806701,C816,2390,0,0,162,0.0,2228,2228.0,0.0
2025-10-10,80842328,C563,173,0,0,29,0.0,144,144.0,0.0
2025-10-10,8084232501,C816,4686,0,0,0,0.0,4686,4686.0,0.0
2025-10-10,80842337,E295,254,0,0,9,0.0,245,245.0,0.0
2025-10-10,80784368,C563,194,0,0,9,0.0,185,185.0,0.0
2025-10-10,80842338,C816,1876,0,0,115,0.0,1761,1761.0,0.0
2025-10-10,8080407701,C816,7873,0,0,103,0.0,7770,7770.0,0.0
2025-10-10,8084234201,D767,94,0,0,15,0.0,79,79.0,0.0
2025-10-10,80842337,C816,578,0,0,25,0.0,553,553.0,0.0
2025-10-10,80858076,A680,596,0,0,0,0.0,596,596.0,0.0
2025-10-10,80842342,D767,94,0,0,2,0.0,92,92.0,0.0
2025-10-10,80842340,D767,60,0,1,15,0.0,46,46.0,0.0
2025-10-10,80858076,C816,3413,0,0,239,0.0,3174,3174.0,0.0
2025-10-10,8084340301,C816,2070,0,0,212,0.0,1858,1858.0,0.0
2025-10-10,80799646,A680,2990,0,0,0,0.0,2990,2990.0,0.0
2025-10-10,80843403,C816,2238,0,0,57,0.0,2181,2181.0,0.0
2025-10-10,80845184,D191,75,0,0,35,0.0,40,40.0,0.0
2025-10-10,80858064,C816,1474,0,0,44,0.0,1430,1430.0,0.0
2025-10-10,80858069,A680,753,0,0,0,0.0,753,753.0,0.0
2025-10-10,80804077,C816,7658,0,0,2,0.0,7656,7656.0,0.0
2025-10-10,80845182,E295,23,0,0,1,0.0,22,22.0,0.0
2025-10-10,80858069,A668,3229,0,0,191,0.0,3038,3038.0,0.0
2025-10-10,80842328,D767,425,0,0,0,0.0,425,425.0,0.0
2025-10-10,80842325,C563,29,0,0,9,0.0,20,20.0,0.0
2025-10-10,80784369,C816,467,0,0,125,0.0,342,342.0,0.0
2025-10-10,80845182,C816,2880,0,0,161,0.0,2719,2719.0,0.0
2025-10-10,80784377,A888,0,5654,0,392,307.0,4955,4955.0,0.0
2025-10-10,80784368,D767,0,0,219,16,0.0,203,203.0,0.0
2025-10-10,8084233901,C816,2315,0,0,83,0.0,2232,2232.0,0.0
