date,material,receiving,quantity,ori_deployment_uid,vehicle_uid,actual_ship_date
2026-01-17,21113405,A716,1,21113405|0386|A716|2026-01-02|net demand for normal|011062,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80804135,A716,1,80804135|0386|A716|2026-01-01|net demand for AO|010759,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21165816,A716,1,21165816|0386|A716|2026-01-01|net demand for forecast|010401,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21165816,A716,1,21165816|0386|A716|2026-01-01|net demand for forecast|010402,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21315352,A716,1,21315352|0386|A716|2026-01-01|net demand for forecast|010502,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21315352,A716,1,21315352|0386|A716|2026-01-01|net demand for forecast|010507,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80804135,A716,1,80804135|0386|A716|2026-01-01|net demand for forecast|010765,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80804135,A716,1,80804135|0386|A716|2026-01-01|net demand for forecast|010772,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80804135,A716,1,80804135|0386|A716|2026-01-01|net demand for forecast|010774,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80804135,A716,2,80804135|0386|A716|2026-01-01|net demand for forecast|010778,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21132758,A716,1,21132758|0386|A716|2026-01-02|net demand for forecast|011202,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80885920,A716,3,80885920|0386|A716|2026-01-02|net demand for forecast|011723,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21315352,A716,19,21315352|0386|A716|2026-01-01|push replenishment|010522,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,80863643,A716,11,80863643|0386|A716|2026-01-01|push replenishment|010966,20260102-0386-A716-Train-#1,2026-01-02
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011953,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011954,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011955,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011957,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011958,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011959,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011960,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011961,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,1,21151196|0386|A716|2026-01-03|net demand for forecast|011962,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011963,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011964,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011965,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011966,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011967,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011968,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011969,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011970,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21151196,A716,2,21151196|0386|A716|2026-01-03|net demand for forecast|011971,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012130,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012131,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012132,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012133,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012134,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012135,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012137,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012138,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012139,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012140,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012141,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,21434954,A716,1,21434954|0386|A716|2026-01-03|net demand for forecast|012142,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012220,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012221,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012222,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012223,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012224,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012225,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012226,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012227,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012228,20260103-0386-A716-Train-#1,2026-01-03
2026-01-17,80804703,A716,1,80804703|0386|A716|2026-01-03|net demand for forecast|012229,20260103-0386-A716-Train-#1,2026-01-03
