date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-12-22,21428668,C816,A680,51,21428668|C816|A680|2025-12-20|net demand for normal|001019,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,3,80804703|C816|A680|2025-12-20|net demand for normal|001099,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21419485,C816,A680,14,21419485|C816|A680|2025-12-21|net demand for normal|001471,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,20,21428668|C816|A680|2025-12-21|net demand for normal|001546,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,2,80804703|C816|A680|2025-12-21|net demand for normal|001594,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,157,21428668|C816|A680|2025-12-22|net demand for normal|002329,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-22|net demand for normal|002343,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-15|net demand for forecast|000045,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-15|net demand for forecast|000046,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-15|net demand for forecast|000047,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-15|net demand for forecast|000048,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-15|net demand for forecast|000049,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-15|net demand for forecast|000050,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,2,80804703|C816|A680|2025-12-15|net demand for forecast|000051,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-16|net demand for forecast|000101,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80804703,C816,A680,1,80804703|C816|A680|2025-12-16|net demand for forecast|000102,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80884845,C816,A680,1,80884845|C816|A680|2025-12-20|net demand for forecast|001149,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80884845,C816,A680,1,80884845|C816|A680|2025-12-20|net demand for forecast|001150,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80884845,C816,A680,1,80884845|C816|A680|2025-12-20|net demand for forecast|001151,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,80884845,C816,A680,1,80884845|C816|A680|2025-12-20|net demand for forecast|001152,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21442422,C816,A680,51,21442422|C816|A680|2025-12-21|net demand for forecast|001568,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21442422,C816,A680,66,21442422|C816|A680|2025-12-21|net demand for forecast|001569,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21442422,C816,A680,66,21442422|C816|A680|2025-12-21|net demand for forecast|001570,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21442422,C816,A680,67,21442422|C816|A680|2025-12-21|net demand for forecast|001571,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21442422,C816,A680,67,21442422|C816|A680|2025-12-21|net demand for forecast|001572,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21442422,C816,A680,67,21442422|C816|A680|2025-12-21|net demand for forecast|001573,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,10,21428668|C816|A680|2025-12-22|net demand for forecast|002322,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,68,21428668|C816|A680|2025-12-22|net demand for forecast|002323,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,68,21428668|C816|A680|2025-12-22|net demand for forecast|002324,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,68,21428668|C816|A680|2025-12-22|net demand for forecast|002325,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,68,21428668|C816|A680|2025-12-22|net demand for forecast|002326,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,68,21428668|C816|A680|2025-12-22|net demand for forecast|002327,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21428668,C816,A680,68,21428668|C816|A680|2025-12-22|net demand for forecast|002328,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21291975,0386,A668,1,21291975|0386|A668|2025-12-21|net demand for normal|001442,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21377091,0386,A668,82,21377091|0386|A668|2025-12-22|net demand for normal|002152,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-21|net demand for forecast|001204,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-21|net demand for forecast|001205,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-21|net demand for forecast|001206,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001207,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001208,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001209,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001210,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001211,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001212,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21165946,0386,A668,2,21165946|0386|A668|2025-12-21|net demand for forecast|001213,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,2,21170683|0386|A668|2025-12-21|net demand for forecast|001314,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,3,21170683|0386|A668|2025-12-21|net demand for forecast|001315,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,3,21170683|0386|A668|2025-12-21|net demand for forecast|001316,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,3,21170683|0386|A668|2025-12-21|net demand for forecast|001317,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,3,21170683|0386|A668|2025-12-21|net demand for forecast|001318,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,3,21170683|0386|A668|2025-12-21|net demand for forecast|001319,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21170683,0386,A668,4,21170683|0386|A668|2025-12-21|net demand for forecast|001320,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,4,21170683|0386|A668|2025-12-21|net demand for forecast|001321,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21170683,0386,A668,4,21170683|0386|A668|2025-12-21|net demand for forecast|001322,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,4,21170683|0386|A668|2025-12-21|net demand for forecast|001323,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001906,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001907,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001908,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001909,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001910,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001911,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001912,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001913,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001914,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,1,21165946|0386|A668|2025-12-22|net demand for forecast|001915,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,5,21377091|0386|A668|2025-12-22|net demand for forecast|002142,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,5,21377091|0386|A668|2025-12-22|net demand for forecast|002143,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,5,21377091|0386|A668|2025-12-22|net demand for forecast|002144,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,5,21377091|0386|A668|2025-12-22|net demand for forecast|002145,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,12,21377091|0386|A668|2025-12-22|net demand for forecast|002146,2025-12-22,2025-12-28,delivery_shipment
2025-12-22,21377091,0386,A668,12,21377091|0386|A668|2025-12-22|net demand for forecast|002147,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,13,21377091|0386|A668|2025-12-22|net demand for forecast|002148,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,13,21377091|0386|A668|2025-12-22|net demand for forecast|002149,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,13,21377091|0386|A668|2025-12-22|net demand for forecast|002150,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A668,13,21377091|0386|A668|2025-12-22|net demand for forecast|002151,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,7,21165946|0386|A668|2025-12-21|net demand for safety|001214,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21170683,0386,A668,17,21170683|0386|A668|2025-12-21|net demand for safety|001324,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21143110,0386,A668,45,21143110|0386|A668|2025-12-22|net demand for safety|001797,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,3,21165946|0386|A668|2025-12-22|net demand for safety|001916,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21143103,0386,A668,20,21143103|0386|A668|2025-12-22|push replenishment|001738,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21143110,0386,A668,80,21143110|0386|A668|2025-12-22|push replenishment|001798,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165868,0386,A668,51,21165868|0386|A668|2025-12-22|push replenishment|001867,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21165946,0386,A668,11,21165946|0386|A668|2025-12-22|push replenishment|001917,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21377091,0386,A672,334,21377091|0386|A672|2025-12-22|net demand for normal|002165,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001739,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001740,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001741,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001742,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001743,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001744,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001745,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001746,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001747,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001748,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001749,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143103,0386,A672,2,21143103|0386|A672|2025-12-22|net demand for forecast|001750,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,1,21143110|0386|A672|2025-12-22|net demand for forecast|001799,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,1,21143110|0386|A672|2025-12-22|net demand for forecast|001800,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,1,21143110|0386|A672|2025-12-22|net demand for forecast|001801,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,1,21143110|0386|A672|2025-12-22|net demand for forecast|001802,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,1,21143110|0386|A672|2025-12-22|net demand for forecast|001803,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,1,21143110|0386|A672|2025-12-22|net demand for forecast|001804,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,2,21143110|0386|A672|2025-12-22|net demand for forecast|001805,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,2,21143110|0386|A672|2025-12-22|net demand for forecast|001806,2025-12-22,2025-12-29,delivery_shipment
2025-12-22,21143110,0386,A672,2,21143110|0386|A672|2025-12-22|net demand for forecast|001807,2025-12-22,2025-12-30,delivery_shipment
2025-12-22,21143110,0386,A672,2,21143110|0386|A672|2025-12-22|net demand for forecast|001808,2025-12-22,2025-12-29,delivery_shipment
