date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-01-15,21132758,A673,D901,16,21132758|A673|D901|2026-01-15|net demand for normal|028486,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21137866,A673,D901,2,21137866|A673|D901|2026-01-15|net demand for normal|028514,2026-01-15,2026-01-18,delivery_shipment
2026-01-15,21141769,A673,D901,8,21141769|A673|D901|2026-01-15|net demand for normal|028544,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80804701,A673,D901,5,80804701|A673|D901|2026-01-15|net demand for normal|029037,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80804705,A673,D901,15,80804705|A673|D901|2026-01-15|net demand for normal|029113,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80807114,A673,D901,3,80807114|A673|D901|2026-01-15|net demand for normal|029379,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80807116,A673,D901,39,80807116|A673|D901|2026-01-15|net demand for normal|029404,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80840976,A673,D901,4,80840976|A673|D901|2026-01-15|net demand for normal|029558,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80848026,A673,D901,24,80848026|A673|D901|2026-01-15|net demand for normal|029629,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21132988,A673,D901,1,21132988|A673|D901|2026-01-15|net demand for forecast|028495,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21132988,A673,D901,1,21132988|A673|D901|2026-01-15|net demand for forecast|028496,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21132988,A673,D901,1,21132988|A673|D901|2026-01-15|net demand for forecast|028497,2026-01-15,2026-01-18,delivery_shipment
2026-01-15,21132988,A673,D901,1,21132988|A673|D901|2026-01-15|net demand for forecast|028498,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21137866,A673,D901,5,21137866|A673|D901|2026-01-15|net demand for forecast|028510,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21137866,A673,D901,5,21137866|A673|D901|2026-01-15|net demand for forecast|028511,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21137866,A673,D901,5,21137866|A673|D901|2026-01-15|net demand for forecast|028512,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21137866,A673,D901,5,21137866|A673|D901|2026-01-15|net demand for forecast|028513,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21139445,A673,D901,1,21139445|A673|D901|2026-01-15|net demand for forecast|028522,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21139445,A673,D901,1,21139445|A673|D901|2026-01-15|net demand for forecast|028523,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21139445,A673,D901,1,21139445|A673|D901|2026-01-15|net demand for forecast|028524,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,21139445,A673,D901,1,21139445|A673|D901|2026-01-15|net demand for forecast|028525,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80804136,A673,D901,2,80804136|A673|D901|2026-01-15|net demand for forecast|028955,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80804136,A673,D901,2,80804136|A673|D901|2026-01-15|net demand for forecast|028956,2026-01-15,2026-01-17,delivery_shipment
2026-01-15,80804136,A673,D901,2,80804136|A673|D901|2026-01-15|net demand for forecast|028957,2026-01-15,2026-01-17,delivery_shipment
