date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-02-24,80804703,A673,D901,4,80804703|A673|D901|2026-02-24|net demand for normal|067666,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21139445,A673,D901,1,21139445|A673|D901|2026-02-24|net demand for forecast|067393,2026-02-24,2026-02-27,delivery_shipment
2026-02-24,21139445,A673,D901,1,21139445|A673|D901|2026-02-24|net demand for forecast|067394,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21139445,A673,D901,1,21139445|A673|D901|2026-02-24|net demand for forecast|067395,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21139445,A673,D901,1,21139445|A673|D901|2026-02-24|net demand for forecast|067396,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804704,A673,D901,1,80804704|A673|D901|2026-02-24|net demand for forecast|067673,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804704,A673,D901,1,80804704|A673|D901|2026-02-24|net demand for forecast|067674,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804704,A673,D901,1,80804704|A673|D901|2026-02-24|net demand for forecast|067675,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804704,A673,D901,1,80804704|A673|D901|2026-02-24|net demand for forecast|067676,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804705,A673,D901,3,80804705|A673|D901|2026-02-24|net demand for forecast|067705,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804705,A673,D901,3,80804705|A673|D901|2026-02-24|net demand for forecast|067706,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804705,A673,D901,3,80804705|A673|D901|2026-02-24|net demand for forecast|067707,2026-02-24,2026-02-27,delivery_shipment
2026-02-24,80804705,A673,D901,3,80804705|A673|D901|2026-02-24|net demand for forecast|067708,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804706,A673,D901,1,80804706|A673|D901|2026-02-24|net demand for forecast|067721,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804706,A673,D901,1,80804706|A673|D901|2026-02-24|net demand for forecast|067722,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804706,A673,D901,1,80804706|A673|D901|2026-02-24|net demand for forecast|067723,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80804706,A673,D901,1,80804706|A673|D901|2026-02-24|net demand for forecast|067724,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807089,A673,D901,4,80807089|A673|D901|2026-02-24|net demand for forecast|067769,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807089,A673,D901,4,80807089|A673|D901|2026-02-24|net demand for forecast|067770,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807089,A673,D901,4,80807089|A673|D901|2026-02-24|net demand for forecast|067771,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807089,A673,D901,4,80807089|A673|D901|2026-02-24|net demand for forecast|067772,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807092,A673,D901,2,80807092|A673|D901|2026-02-24|net demand for forecast|067784,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807092,A673,D901,2,80807092|A673|D901|2026-02-24|net demand for forecast|067785,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807092,A673,D901,2,80807092|A673|D901|2026-02-24|net demand for forecast|067786,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,80807092,A673,D901,2,80807092|A673|D901|2026-02-24|net demand for forecast|067787,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21098519,A673,D901,9,21098519|A673|D901|2026-02-24|net demand for safety|067314,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21103371,A673,D901,10,21103371|A673|D901|2026-02-24|net demand for safety|067346,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21103372,A673,D901,2,21103372|A673|D901|2026-02-24|net demand for safety|067348,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21121751,A673,D901,1,21121751|A673|D901|2026-02-24|net demand for safety|067357,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21128067,A673,D901,6,21128067|A673|D901|2026-02-24|net demand for safety|067366,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21128377,A673,D901,14,21128377|A673|D901|2026-02-24|net demand for safety|067367,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21132758,A673,D901,24,21132758|A673|D901|2026-02-24|net demand for safety|067370,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21132988,A673,D901,5,21132988|A673|D901|2026-02-24|net demand for safety|067380,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21133312,A673,D901,7,21133312|A673|D901|2026-02-24|net demand for safety|067382,2026-02-24,2026-02-27,delivery_shipment
2026-02-24,21137866,A673,D901,16,21137866|A673|D901|2026-02-24|net demand for safety|067392,2026-02-24,2026-02-27,delivery_shipment
2026-02-24,21139445,A673,D901,5,21139445|A673|D901|2026-02-24|net demand for safety|067397,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21143102,A673,D901,9,21143102|A673|D901|2026-02-24|net demand for safety|067456,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21143103,A673,D901,2,21143103|A673|D901|2026-02-24|net demand for safety|067458,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21143110,A673,D901,7,21143110|A673|D901|2026-02-24|net demand for safety|067459,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21148509,A673,D901,18,21148509|A673|D901|2026-02-24|net demand for safety|067468,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21151196,A673,D901,23,21151196|A673|D901|2026-02-24|net demand for safety|067469,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21155895,A673,D901,11,21155895|A673|D901|2026-02-24|net demand for safety|067486,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21165946,A673,D901,16,21165946|A673|D901|2026-02-24|net demand for safety|067488,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21170683,A673,D901,3,21170683|A673|D901|2026-02-24|net demand for safety|067491,2026-02-24,2026-02-27,delivery_shipment
2026-02-24,21171453,A673,D901,2,21171453|A673|D901|2026-02-24|net demand for safety|067492,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21314593,A673,D901,7,21314593|A673|D901|2026-02-24|net demand for safety|067500,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21314594,A673,D901,9,21314594|A673|D901|2026-02-24|net demand for safety|067502,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21314595,A673,D901,2,21314595|A673|D901|2026-02-24|net demand for safety|067503,2026-02-24,2026-02-26,delivery_shipment
2026-02-24,21315350,A673,D901,7,21315350|A673|D901|2026-02-24|net demand for safety|067514,2026-02-24,2026-02-26,delivery_shipment
