date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2026-01-09,80848028,C937,8,0,0,2,0.0,6,6.0,0.0
2026-01-09,80805852,A668,19,0,0,1,0.0,18,18.0,0.0
2026-01-09,80863646,A716,5,0,0,0,0.0,5,5.0,0.0
2026-01-09,80804138,E564,21,0,0,4,0.0,17,17.0,0.0
2026-01-09,21314593,C816,481,0,0,0,0.0,481,481.0,0.0
2026-01-09,80805856,C810,42,0,0,0,18.0,24,24.0,0.0
2026-01-09,80804133,D901,153,0,0,16,0.0,137,137.0,0.0
2026-01-09,80807092,A715,23,0,0,2,0.0,21,21.0,0.0
2026-01-09,80848028,0386,0,3623,0,0,3619.0,4,4.0,0.0
2026-01-09,80807093,C937,4,0,7,0,0.0,11,11.0,0.0
2026-01-09,21165816,E569,5,0,0,0,0.0,5,5.0,0.0
2026-01-09,80848029,A668,1,0,0,1,0.0,0,0.0,0.0
2026-01-09,80854083,C816,34,0,0,0,0.0,34,34.0,0.0
2026-01-09,21103372,E569,11,0,0,1,0.0,10,10.0,0.0
2026-01-09,80804703,A673,192,0,0,8,11.0,173,173.0,0.0
2026-01-09,80868102,A680,17,0,0,0,0.0,17,17.0,0.0
2026-01-09,80884848,A672,23,0,0,0,0.0,23,23.0,0.0
2026-01-09,21419490,A673,1263,0,0,27,0.0,1236,1236.0,0.0
2026-01-09,21029016,D767,9,0,0,3,0.0,6,6.0,0.0
2026-01-09,80804138,D901,87,0,0,13,0.0,74,74.0,0.0
2026-01-09,21128067,D767,46,0,0,6,0.0,40,40.0,0.0
2026-01-09,80807112,A715,247,0,0,16,0.0,231,231.0,0.0
2026-01-09,21179704,A673,28,0,0,3,0.0,25,25.0,0.0
2026-01-09,21148509,A715,25,0,69,4,0.0,90,90.0,0.0
2026-01-09,80884852,A672,497,0,0,3,0.0,494,494.0,0.0
2026-01-09,21113405,A672,120,0,167,3,0.0,284,284.0,0.0
2026-01-09,21121756,0386,4,0,0,0,0.0,4,4.0,0.0
2026-01-09,80812099,A715,25,0,0,0,0.0,25,25.0,0.0
2026-01-09,80885920,A673,485,0,0,8,0.0,477,477.0,0.0
2026-01-09,21315352,E556,16,0,0,2,0.0,14,14.0,0.0
2026-01-09,21416910,A668,262,0,0,0,0.0,262,262.0,0.0
2026-01-09,80805856,A668,226,0,0,22,0.0,204,204.0,0.0
2026-01-09,80865910,C816,6,0,0,0,0.0,6,6.0,0.0
2026-01-09,21121751,A716,57,0,0,1,0.0,56,56.0,0.0
2026-01-09,21171453,A672,32,0,0,1,0.0,31,31.0,0.0
2026-01-09,80812846,A673,434,0,0,26,0.0,408,408.0,0.0
2026-01-09,80807105,D191,29,0,0,2,0.0,27,27.0,0.0
2026-01-09,21352461,A668,259,0,0,0,0.0,259,259.0,0.0
2026-01-09,21141769,E556,17,0,0,1,0.0,16,16.0,0.0
2026-01-09,21377504,C816,181,0,0,5,0.0,176,176.0,0.0
2026-01-09,80807113,E568,7,0,0,0,0.0,7,7.0,0.0
2026-01-09,21170683,A680,78,0,49,9,0.0,118,118.0,0.0
2026-01-09,21113405,C810,12,0,0,0,7.0,5,5.0,0.0
2026-01-09,21314593,A673,52,0,545,21,36.0,540,540.0,0.0
2026-01-09,80807114,C816,64,0,0,2,0.0,62,62.0,0.0
2026-01-09,21132758,E556,18,0,0,0,0.0,18,18.0,0.0
2026-01-09,21133312,E564,7,0,0,0,0.0,7,7.0,0.0
2026-01-09,80807089,E564,17,0,0,0,0.0,17,17.0,0.0
2026-01-09,80848022,A668,57,0,0,9,0.0,48,48.0,0.0
2026-01-09,80854083,A673,85,0,0,0,0.0,85,85.0,0.0
2026-01-09,80863643,A716,2,0,0,0,0.0,2,2.0,0.0
2026-01-09,80807105,E568,5,0,0,0,0.0,5,5.0,0.0
2026-01-09,21314875,A668,3,0,0,3,0.0,0,0.0,0.0
2026-01-09,80804132,E556,32,0,0,2,0.0,30,30.0,0.0
2026-01-09,80840975,E564,4,0,0,1,0.0,3,3.0,0.0
2026-01-09,80804130,C819,5,0,0,0,0.0,5,5.0,0.0
2026-01-09,21325292,A672,434,0,0,13,0.0,421,421.0,0.0
2026-01-09,21377504,E568,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,21143102,A680,129,0,0,11,0.0,118,118.0,0.0
2026-01-09,80807114,E568,2,0,0,0,0.0,2,2.0,0.0
2026-01-09,80812845,E569,43,0,0,9,0.0,34,34.0,0.0
2026-01-09,21315352,A715,4,0,0,0,0.0,4,4.0,0.0
2026-01-09,80865910,A673,12,0,0,3,0.0,9,9.0,0.0
2026-01-09,80807118,E556,43,0,0,5,0.0,38,38.0,0.0
2026-01-09,21133312,D901,74,0,3,3,0.0,74,74.0,0.0
2026-01-09,21434952,A672,443,0,0,0,0.0,443,443.0,0.0
2026-01-09,21314595,C810,11,0,0,0,0.0,11,11.0,0.0
2026-01-09,21325292,C810,28,0,0,2,0.0,26,26.0,0.0
2026-01-09,80868100,A716,8,0,0,0,0.0,8,8.0,0.0
2026-01-09,80796091,C816,0,0,493,4,4.0,485,485.0,0.0
2026-01-09,21141769,A715,18,0,0,3,0.0,15,15.0,0.0
2026-01-09,21377504,A673,818,0,0,10,0.0,808,808.0,0.0
2026-01-09,21414747,0386,2,0,0,0,0.0,2,2.0,0.0
2026-01-09,80807100,A716,25,0,0,1,0.0,24,24.0,0.0
2026-01-09,80812103,A672,104,0,0,4,0.0,100,100.0,0.0
2026-01-09,80807114,A673,92,0,0,6,13.0,73,73.0,0.0
2026-01-09,80795932,A672,61,0,1,1,0.0,61,61.0,0.0
2026-01-09,80807112,C816,164,0,321,8,16.0,461,461.0,0.0
2026-01-09,21148509,C816,253,0,0,31,3.0,219,219.0,0.0
2026-01-09,80805850,E569,2,0,0,0,0.0,2,2.0,0.0
2026-01-09,21132758,A715,81,0,34,2,0.0,113,113.0,0.0
2026-01-09,80807120,C819,56,0,0,3,0.0,53,53.0,0.0
2026-01-09,80868101,A716,7,0,0,1,0.0,6,6.0,0.0
2026-01-09,80848026,A668,486,0,414,14,0.0,886,886.0,0.0
2026-01-09,80807110,A715,227,0,0,2,0.0,225,225.0,0.0
2026-01-09,21029016,C816,69,0,0,5,8.0,56,56.0,0.0
2026-01-09,21366842,0386,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,21128067,C816,641,0,244,28,2.0,855,855.0,0.0
2026-01-09,21303404,C937,2,0,0,0,0.0,2,2.0,0.0
2026-01-09,80804704,C937,48,0,0,12,0.0,36,36.0,0.0
2026-01-09,21132988,0386,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,80804701,C819,8,0,0,0,0.0,8,8.0,0.0
2026-01-09,80804132,A715,116,0,0,3,0.0,113,113.0,0.0
2026-01-09,21377091,A672,3713,0,0,0,0.0,3713,3713.0,0.0
2026-01-09,80884850,C816,49,0,0,9,0.0,40,40.0,0.0
2026-01-09,80807091,C937,33,0,0,3,0.0,30,30.0,0.0
2026-01-09,80840976,A716,17,0,0,2,0.0,15,15.0,0.0
2026-01-09,80807117,A672,16,0,0,0,0.0,16,16.0,0.0
2026-01-09,80848023,D901,95,0,0,67,0.0,28,28.0,0.0
2026-01-09,21434946,0386,86,0,0,0,0.0,86,86.0,0.0
2026-01-09,80848027,C937,4,0,0,0,0.0,4,4.0,0.0
2026-01-09,80807097,C937,3,0,0,1,0.0,2,2.0,0.0
2026-01-09,80807100,D901,114,0,0,18,0.0,96,96.0,0.0
2026-01-09,80804137,A680,31,0,0,1,0.0,30,30.0,0.0
2026-01-09,21132758,E295,100,0,0,18,0.0,82,82.0,0.0
2026-01-09,21442897,A680,44,0,0,5,0.0,39,39.0,0.0
2026-01-09,21127730,C816,243,0,676,0,0.0,919,919.0,0.0
2026-01-09,80804127,A672,316,0,0,25,0.0,291,291.0,0.0
2026-01-09,80804133,E569,13,0,0,2,0.0,11,11.0,0.0
2026-01-09,80807118,A715,579,0,0,4,0.0,575,575.0,0.0
2026-01-09,21029016,E568,4,0,0,0,0.0,4,4.0,0.0
2026-01-09,21162696,E564,5,0,0,1,0.0,4,4.0,0.0
2026-01-09,80791223,C816,64,0,0,0,0.0,64,64.0,0.0
2026-01-09,80807095,A716,34,0,0,6,0.0,28,28.0,0.0
2026-01-09,21128067,E568,4,0,0,1,0.0,3,3.0,0.0
2026-01-09,21118864,A715,15,0,0,0,0.0,15,15.0,0.0
2026-01-09,80807091,0386,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,80807112,A673,557,0,0,17,4.0,536,536.0,0.0
2026-01-09,21148509,A673,119,0,0,32,0.0,87,87.0,0.0
2026-01-09,21133493,C816,88,0,0,2,0.0,86,86.0,0.0
2026-01-09,80891759,A668,2,0,0,0,0.0,2,2.0,0.0
2026-01-09,80807122,C937,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,21128377,C937,18,0,3,1,0.0,20,20.0,0.0
2026-01-09,80804138,E569,8,0,0,1,0.0,7,7.0,0.0
2026-01-09,21325164,A672,10,0,0,1,0.0,9,9.0,0.0
2026-01-09,21419490,A668,472,0,0,1,0.0,471,471.0,0.0
2026-01-09,21098519,A668,238,0,0,31,0.0,207,207.0,0.0
2026-01-09,80864469,A716,14,0,0,1,0.0,13,13.0,0.0
2026-01-09,80812839,E564,40,0,0,2,0.0,38,38.0,0.0
2026-01-09,80804705,A716,59,0,0,15,0.0,44,44.0,0.0
2026-01-09,80848026,C563,52,0,0,2,0.0,50,50.0,0.0
2026-01-09,21179704,A668,12,0,0,1,0.0,11,11.0,0.0
2026-01-09,80884850,A673,216,0,0,11,0.0,205,205.0,0.0
2026-01-09,80885920,A668,44,0,0,18,0.0,26,26.0,0.0
2026-01-09,21422791,A680,20,0,0,3,0.0,17,17.0,0.0
2026-01-09,21428668,A716,415,0,693,6,0.0,1102,1102.0,0.0
2026-01-09,80807110,C816,312,0,0,13,24.0,275,275.0,0.0
2026-01-09,80807119,A672,761,0,0,23,0.0,738,738.0,0.0
2026-01-09,80812846,A668,214,0,0,24,0.0,190,190.0,0.0
2026-01-09,21127730,A673,344,0,0,0,2.0,342,342.0,0.0
2026-01-09,80804130,A680,26,0,0,5,0.0,21,21.0,0.0
2026-01-09,80851898,A716,289,0,0,3,0.0,286,286.0,0.0
2026-01-09,80791223,A673,73,0,0,0,0.0,73,73.0,0.0
2026-01-09,21113405,C937,4,0,4,0,0.0,8,8.0,0.0
2026-01-09,21314593,A668,42,0,79,6,0.0,115,115.0,0.0
2026-01-09,21463645,A680,35,0,0,0,0.0,35,35.0,0.0
2026-01-09,80838162,A672,5,0,0,1,0.0,4,4.0,0.0
2026-01-09,80804705,D901,0,0,4,4,0.0,0,0.0,0.0
2026-01-09,80807119,C810,4,0,0,0,0.0,4,4.0,0.0
2026-01-09,80884848,0386,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,21133493,A673,158,0,0,4,0.0,154,154.0,0.0
2026-01-09,80807115,E556,46,0,0,1,0.0,45,45.0,0.0
2026-01-09,21315352,A673,519,0,0,23,0.0,496,496.0,0.0
2026-01-09,21301637,C937,24,0,0,0,0.0,24,24.0,0.0
2026-01-09,80884852,0386,3,0,0,0,0.0,3,3.0,0.0
2026-01-09,80868102,A715,3,0,0,0,0.0,3,3.0,0.0
2026-01-09,80812840,C816,577,0,0,9,13.0,555,555.0,0.0
2026-01-09,21314602,C816,16,0,0,2,0.0,14,14.0,0.0
2026-01-09,80807120,A680,64,0,202,7,0.0,259,259.0,0.0
2026-01-09,80812110,A716,27,0,0,1,0.0,26,26.0,0.0
2026-01-09,21133312,E569,5,0,0,0,0.0,5,5.0,0.0
2026-01-09,21141769,A673,98,0,0,36,0.0,62,62.0,0.0
2026-01-09,21118864,C816,144,0,0,1,0.0,143,143.0,0.0
2026-01-09,21171453,0386,3,0,0,0,0.0,3,3.0,0.0
2026-01-09,21121756,E564,31,0,0,0,0.0,31,31.0,0.0
2026-01-09,21304907,D767,8,0,0,1,0.0,7,7.0,0.0
2026-01-09,21155895,A716,111,0,8,3,0.0,116,116.0,0.0
2026-01-09,80884846,A716,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,80807110,A673,215,0,0,24,0.0,191,191.0,0.0
2026-01-09,80804701,A680,10,0,0,4,0.0,6,6.0,0.0
2026-01-09,21325292,C937,19,0,0,1,0.0,18,18.0,0.0
2026-01-09,80864470,E569,1,0,0,0,0.0,1,1.0,0.0
2026-01-09,80840975,E569,6,0,0,1,0.0,5,5.0,0.0
