material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21434946,A673,D901,2025-12-15,1,net demand for normal,21434946|A673|D901|2025-12-15|net demand for normal|000017
21447518,A672,A715,2025-12-20,2,net demand for normal,21447518|A672|A715|2025-12-20|net demand for normal|001080
80838164,A673,E564,2026-01-06,1,net demand for normal,80838164|A673|E564|2026-01-06|net demand for normal|016397
80868102,C816,C810,2026-01-06,1,net demand for forecast,80868102|C816|C810|2026-01-06|net demand for forecast|016560
80839736,A672,E556,2026-01-09,11,net demand for normal,80839736|A672|E556|2026-01-09|net demand for normal|020128
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020432
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020433
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020434
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020435
80839736,A672,E556,2026-01-10,59,net demand for normal,80839736|A672|E556|2026-01-10|net demand for normal|021564
80839736,A672,E556,2026-01-11,9,net demand for normal,80839736|A672|E556|2026-01-11|net demand for normal|023408
80838165,A673,E564,2026-01-14,1,net demand for normal,80838165|A673|E564|2026-01-14|net demand for normal|028195
80868101,C816,C810,2026-01-14,1,net demand for AO,80868101|C816|C810|2026-01-14|net demand for AO|028395
80868101,C816,C810,2026-01-14,1,net demand for forecast,80868101|C816|C810|2026-01-14|net demand for forecast|028396
80868101,C816,C810,2026-01-14,1,net demand for forecast,80868101|C816|C810|2026-01-14|net demand for forecast|028397
80868101,C816,C810,2026-01-14,2,net demand for safety,80868101|C816|C810|2026-01-14|net demand for safety|028398
80868102,C816,C810,2026-01-14,1,net demand for forecast,80868102|C816|C810|2026-01-14|net demand for forecast|028420
80838165,A673,E564,2026-01-15,1,net demand for normal,80838165|A673|E564|2026-01-15|net demand for normal|029556
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031220
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031221
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031222
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031223
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031224
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031225
21113405,A673,E564,2026-01-17,1,net demand for forecast,21113405|A673|E564|2026-01-17|net demand for forecast|031226
21113405,A673,E564,2026-01-17,1,net demand for normal,21113405|A673|E564|2026-01-17|net demand for normal|031227
21113405,A673,E564,2026-01-17,1,net demand for safety,21113405|A673|E564|2026-01-17|net demand for safety|031228
21121756,A673,E564,2026-01-17,2,net demand for safety,21121756|A673|E564|2026-01-17|net demand for safety|031262
21179704,A673,E564,2026-01-17,1,net demand for forecast,21179704|A673|E564|2026-01-17|net demand for forecast|031445
21179704,A673,E564,2026-01-17,1,net demand for forecast,21179704|A673|E564|2026-01-17|net demand for forecast|031446
21179704,A673,E564,2026-01-17,1,net demand for forecast,21179704|A673|E564|2026-01-17|net demand for forecast|031447
21179704,A673,E564,2026-01-17,1,net demand for forecast,21179704|A673|E564|2026-01-17|net demand for forecast|031448
21179704,A673,E564,2026-01-17,1,net demand for forecast,21179704|A673|E564|2026-01-17|net demand for forecast|031449
21179704,A673,E564,2026-01-17,1,net demand for forecast,21179704|A673|E564|2026-01-17|net demand for forecast|031450
21179704,A673,E564,2026-01-17,1,net demand for normal,21179704|A673|E564|2026-01-17|net demand for normal|031451
21179704,A673,E564,2026-01-17,3,net demand for safety,21179704|A673|E564|2026-01-17|net demand for safety|031452
80804127,A673,E564,2026-01-17,1,net demand for forecast,80804127|A673|E564|2026-01-17|net demand for forecast|031548
80804127,A673,E564,2026-01-17,1,net demand for forecast,80804127|A673|E564|2026-01-17|net demand for forecast|031549
80804127,A673,E564,2026-01-17,1,net demand for forecast,80804127|A673|E564|2026-01-17|net demand for forecast|031550
80804127,A673,E564,2026-01-17,1,net demand for forecast,80804127|A673|E564|2026-01-17|net demand for forecast|031551
80804127,A673,E564,2026-01-17,1,net demand for normal,80804127|A673|E564|2026-01-17|net demand for normal|031552
80805852,A673,E564,2026-01-17,1,net demand for safety,80805852|A673|E564|2026-01-17|net demand for safety|031769
80812110,A673,E564,2026-01-17,1,net demand for normal,80812110|A673|E564|2026-01-17|net demand for normal|032010
21121756,A673,E564,2026-01-18,3,net demand for safety,21121756|A673|E564|2026-01-18|net demand for safety|032645
21314602,A673,E564,2026-01-18,1,net demand for forecast,21314602|A673|E564|2026-01-18|net demand for forecast|032816
21314602,A673,E564,2026-01-18,1,net demand for forecast,21314602|A673|E564|2026-01-18|net demand for forecast|032817
21314602,A673,E564,2026-01-18,1,net demand for forecast,21314602|A673|E564|2026-01-18|net demand for forecast|032818
21314602,A673,E564,2026-01-18,1,net demand for forecast,21314602|A673|E564|2026-01-18|net demand for forecast|032819
21314602,A673,E564,2026-01-18,1,net demand for safety,21314602|A673|E564|2026-01-18|net demand for safety|032820
80804127,A673,E564,2026-01-18,1,net demand for forecast,80804127|A673|E564|2026-01-18|net demand for forecast|032891
80804127,A673,E564,2026-01-18,1,net demand for forecast,80804127|A673|E564|2026-01-18|net demand for forecast|032892
80804127,A673,E564,2026-01-18,1,net demand for forecast,80804127|A673|E564|2026-01-18|net demand for forecast|032893
