transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21315350|0386|A716|2026-01-07|net demand for forecast|016820_transit_20260107-0386-A716-Train-#1,2026-01-21,21315350,0386,A716,2026-01-07,2026-01-22,1,21315350|0386|A716|2026-01-07|net demand for forecast|016820,20260107-0386-A716-Train-#1
21315350|0386|A716|2026-01-07|net demand for forecast|016822_transit_20260107-0386-A716-Train-#1,2026-01-21,21315350,0386,A716,2026-01-07,2026-01-22,1,21315350|0386|A716|2026-01-07|net demand for forecast|016822,20260107-0386-A716-Train-#1
21419500|0386|A716|2026-01-07|net demand for forecast|016905_transit_20260107-0386-A716-Train-#1,2026-01-21,21419500,0386,A716,2026-01-07,2026-01-22,1,21419500|0386|A716|2026-01-07|net demand for forecast|016905,20260107-0386-A716-Train-#1
21419500|0386|A716|2026-01-07|net demand for forecast|016906_transit_20260107-0386-A716-Train-#1,2026-01-21,21419500,0386,A716,2026-01-07,2026-01-22,1,21419500|0386|A716|2026-01-07|net demand for forecast|016906,20260107-0386-A716-Train-#1
21419500|0386|A716|2026-01-07|net demand for forecast|016909_transit_20260107-0386-A716-Train-#1,2026-01-21,21419500,0386,A716,2026-01-07,2026-01-22,1,21419500|0386|A716|2026-01-07|net demand for forecast|016909,20260107-0386-A716-Train-#1
21422791|0386|A716|2026-01-07|net demand for forecast|017001_transit_20260107-0386-A716-Train-#1,2026-01-21,21422791,0386,A716,2026-01-07,2026-01-22,1,21422791|0386|A716|2026-01-07|net demand for forecast|017001,20260107-0386-A716-Train-#1
21422791|0386|A716|2026-01-07|net demand for forecast|017005_transit_20260107-0386-A716-Train-#1,2026-01-21,21422791,0386,A716,2026-01-07,2026-01-22,1,21422791|0386|A716|2026-01-07|net demand for forecast|017005,20260107-0386-A716-Train-#1
21422791|0386|A716|2026-01-07|net demand for forecast|017006_transit_20260107-0386-A716-Train-#1,2026-01-21,21422791,0386,A716,2026-01-07,2026-01-22,1,21422791|0386|A716|2026-01-07|net demand for forecast|017006,20260107-0386-A716-Train-#1
21422791|0386|A716|2026-01-07|net demand for forecast|017007_transit_20260107-0386-A716-Train-#1,2026-01-21,21422791,0386,A716,2026-01-07,2026-01-22,1,21422791|0386|A716|2026-01-07|net demand for forecast|017007,20260107-0386-A716-Train-#1
80812840|0386|A716|2026-01-07|push replenishment|017477_transit_20260107-0386-A716-Train-#1,2026-01-21,80812840,0386,A716,2026-01-07,2026-01-22,195,80812840|0386|A716|2026-01-07|push replenishment|017477,20260107-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for normal|017784_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for normal|017784,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for normal|017903_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for normal|017903,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for AO|018275_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for AO|018275,20260108-0386-A716-Train-#1
80795932|0386|A716|2026-01-08|net demand for AO|018314_transit_20260108-0386-A716-Train-#1,2026-01-21,80795932,0386,A716,2026-01-08,2026-01-22,1,80795932|0386|A716|2026-01-08|net demand for AO|018314,20260108-0386-A716-Train-#1
80795932|0386|A716|2026-01-08|net demand for AO|018315_transit_20260108-0386-A716-Train-#1,2026-01-21,80795932,0386,A716,2026-01-08,2026-01-22,1,80795932|0386|A716|2026-01-08|net demand for AO|018315,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for AO|018403_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for AO|018403,20260108-0386-A716-Train-#1
