date,material,location,quantity
2026-01-22,80848026,0386,3623
2026-01-22,80848024,0386,1941
2026-01-22,80804127,0386,126
2026-01-22,80804138,0386,1253
2026-01-22,80812845,0386,5360
2026-01-22,80807116,0386,183
2026-01-22,21419500,0386,451
2026-01-22,21291975,0386,736
2026-01-22,21422791,0386,3177
2026-01-22,21414747,0386,988
2026-01-22,21165946,0386,702
2026-01-22,21171453,0386,383
2026-01-22,21170691,0386,715
2026-01-22,21128377,0386,1325
2026-01-22,21141769,0386,1222
2026-01-22,21132988,0386,258
