date,material,location,quantity,type
2026-02-06,21029016,A668,0,customer_shipment
2026-02-06,21029016,A672,0,customer_shipment
2026-02-06,21029016,A673,0,customer_shipment
2026-02-06,21029016,A680,0,customer_shipment
2026-02-06,21029016,A715,0,customer_shipment
2026-02-06,21029016,A716,0,customer_shipment
2026-02-06,21029016,C810,0,customer_shipment
2026-02-06,21029016,C816,0,customer_shipment
2026-02-06,21029016,C819,0,customer_shipment
2026-02-06,21029016,C937,0,customer_shipment
2026-02-06,21029016,D767,0,customer_shipment
2026-02-06,21029016,E556,0,customer_shipment
2026-02-06,21029016,E564,0,customer_shipment
2026-02-06,21029016,E568,0,customer_shipment
2026-02-06,21029016,E569,0,customer_shipment
2026-02-06,21098519,A668,0,customer_shipment
2026-02-06,21098519,A672,40,customer_shipment
2026-02-06,21098519,A673,65,customer_shipment
2026-02-06,21098519,A680,0,customer_shipment
2026-02-06,21098519,A715,5,customer_shipment
2026-02-06,21098519,A716,6,customer_shipment
2026-02-06,21098519,C810,19,customer_shipment
2026-02-06,21098519,C816,56,customer_shipment
2026-02-06,21098519,C937,5,customer_shipment
2026-02-06,21098519,D767,1,customer_shipment
2026-02-06,21098519,D901,0,customer_shipment
2026-02-06,21098519,E556,0,customer_shipment
2026-02-06,21098519,E564,2,customer_shipment
2026-02-06,21098519,E569,1,customer_shipment
2026-02-06,21103371,A668,34,customer_shipment
2026-02-06,21103371,A672,51,customer_shipment
2026-02-06,21103371,A673,54,customer_shipment
2026-02-06,21103371,A680,4,customer_shipment
2026-02-06,21103371,A715,4,customer_shipment
2026-02-06,21103371,A716,13,customer_shipment
2026-02-06,21103371,C563,1,customer_shipment
2026-02-06,21103371,C810,27,customer_shipment
2026-02-06,21103371,C816,14,customer_shipment
2026-02-06,21103371,C937,5,customer_shipment
2026-02-06,21103371,D767,0,customer_shipment
2026-02-06,21103371,D901,17,customer_shipment
2026-02-06,21103371,E295,7,customer_shipment
2026-02-06,21103371,E564,0,customer_shipment
2026-02-06,21103371,E569,0,customer_shipment
2026-02-06,21103372,A668,37,customer_shipment
2026-02-06,21103372,A672,8,customer_shipment
2026-02-06,21103372,A673,0,customer_shipment
2026-02-06,21103372,A680,10,customer_shipment
2026-02-06,21103372,A715,5,customer_shipment
2026-02-06,21103372,A716,7,customer_shipment
2026-02-06,21103372,C810,20,customer_shipment
2026-02-06,21103372,C816,25,customer_shipment
2026-02-06,21103372,C937,8,customer_shipment
2026-02-06,21103372,D767,2,customer_shipment
2026-02-06,21103372,D901,8,customer_shipment
2026-02-06,21103372,E556,0,customer_shipment
2026-02-06,21103372,E564,1,customer_shipment
2026-02-06,21103372,E569,1,customer_shipment
2026-02-06,21113405,A668,6,customer_shipment
2026-02-06,21113405,A672,7,customer_shipment
2026-02-06,21113405,A673,1,customer_shipment
2026-02-06,21113405,A680,1,customer_shipment
2026-02-06,21113405,A715,1,customer_shipment
2026-02-06,21113405,A716,2,customer_shipment
2026-02-06,21113405,C810,0,customer_shipment
2026-02-06,21113405,C816,5,customer_shipment
2026-02-06,21113405,C819,1,customer_shipment
2026-02-06,21113405,C937,1,customer_shipment
2026-02-06,21113405,D767,4,customer_shipment
2026-02-06,21113405,D901,0,customer_shipment
2026-02-06,21113405,E556,0,customer_shipment
2026-02-06,21113405,E564,0,customer_shipment
2026-02-06,21113405,E568,0,customer_shipment
2026-02-06,21113405,E569,0,customer_shipment
2026-02-06,21118864,A668,0,customer_shipment
2026-02-06,21118864,A672,0,customer_shipment
2026-02-06,21118864,A673,4,customer_shipment
2026-02-06,21118864,A680,1,customer_shipment
2026-02-06,21118864,C816,2,customer_shipment
2026-02-06,21118867,A668,2,customer_shipment
2026-02-06,21118867,A672,2,customer_shipment
2026-02-06,21118867,A673,2,customer_shipment
2026-02-06,21118867,A680,1,customer_shipment
2026-02-06,21118867,A715,0,customer_shipment
2026-02-06,21118867,A716,1,customer_shipment
2026-02-06,21118867,C816,2,customer_shipment
2026-02-06,21118867,C819,0,customer_shipment
2026-02-06,21118867,C937,0,customer_shipment
2026-02-06,21118867,D767,1,customer_shipment
2026-02-06,21118867,D901,0,customer_shipment
2026-02-06,21118867,E564,1,customer_shipment
2026-02-06,21121751,A668,1,customer_shipment
2026-02-06,21121751,A672,4,customer_shipment
2026-02-06,21121751,A673,32,customer_shipment
2026-02-06,21121751,A680,2,customer_shipment
2026-02-06,21121751,A715,0,customer_shipment
2026-02-06,21121751,A716,1,customer_shipment
2026-02-06,21121751,C816,14,customer_shipment
2026-02-06,21121751,C819,2,customer_shipment
2026-02-06,21121751,D767,0,customer_shipment
2026-02-06,21121751,D901,7,customer_shipment
2026-02-06,21121751,E556,3,customer_shipment
2026-02-06,21121751,E564,0,customer_shipment
2026-02-06,21121752,A668,0,customer_shipment
2026-02-06,21121752,A672,5,customer_shipment
2026-02-06,21121752,A673,4,customer_shipment
2026-02-06,21121752,A680,1,customer_shipment
2026-02-06,21121752,A716,0,customer_shipment
2026-02-06,21121752,C816,9,customer_shipment
2026-02-06,21121752,C819,2,customer_shipment
2026-02-06,21121752,D767,1,customer_shipment
2026-02-06,21121752,E556,0,customer_shipment
2026-02-06,21121756,A668,7,customer_shipment
2026-02-06,21121756,A672,14,customer_shipment
2026-02-06,21121756,A673,18,customer_shipment
2026-02-06,21121756,A680,1,customer_shipment
2026-02-06,21121756,A715,1,customer_shipment
2026-02-06,21121756,A716,0,customer_shipment
2026-02-06,21121756,C810,0,customer_shipment
2026-02-06,21121756,C816,2,customer_shipment
2026-02-06,21121756,C819,1,customer_shipment
2026-02-06,21121756,C937,0,customer_shipment
2026-02-06,21121756,D767,0,customer_shipment
2026-02-06,21121756,D901,0,customer_shipment
2026-02-06,21121756,E556,0,customer_shipment
2026-02-06,21121756,E564,1,customer_shipment
2026-02-06,21121756,E568,0,customer_shipment
2026-02-06,21121756,E569,0,customer_shipment
2026-02-06,21127730,A668,0,customer_shipment
2026-02-06,21127730,A672,6,customer_shipment
2026-02-06,21127730,A673,23,customer_shipment
2026-02-06,21127730,A680,4,customer_shipment
2026-02-06,21127730,A715,0,customer_shipment
2026-02-06,21127730,A716,1,customer_shipment
2026-02-06,21127730,C563,4,customer_shipment
2026-02-06,21127730,C816,15,customer_shipment
2026-02-06,21127730,C937,0,customer_shipment
2026-02-06,21127730,D901,2,customer_shipment
2026-02-06,21127730,E295,0,customer_shipment
2026-02-06,21127799,A672,17,customer_shipment
2026-02-06,21127799,A673,2,customer_shipment
2026-02-06,21127799,C816,3,customer_shipment
