date,material,location,quantity
2026-02-13,21029016,A668,0
2026-02-13,21029016,A672,0
2026-02-13,21029016,A673,0
2026-02-13,21029016,A680,0
2026-02-13,21029016,A715,0
2026-02-13,21029016,A716,0
2026-02-13,21029016,C810,0
2026-02-13,21029016,C816,0
2026-02-13,21029016,C819,4
2026-02-13,21029016,C937,0
2026-02-13,21029016,D767,0
2026-02-13,21029016,E556,0
2026-02-13,21029016,E564,0
2026-02-13,21029016,E568,4
2026-02-13,21029016,E569,0
2026-02-13,21098519,A668,287
2026-02-13,21098519,A672,844
2026-02-13,21098519,A673,887
2026-02-13,21098519,A680,230
2026-02-13,21098519,A715,129
2026-02-13,21098519,A716,145
2026-02-13,21098519,C810,126
2026-02-13,21098519,C816,345
2026-02-13,21098519,C819,0
2026-02-13,21098519,C937,34
2026-02-13,21098519,D191,2
2026-02-13,21098519,D767,17
2026-02-13,21098519,D901,135
2026-02-13,21098519,E556,46
2026-02-13,21098519,E564,14
2026-02-13,21098519,E568,3
2026-02-13,21098519,E569,4
2026-02-13,21103371,A668,310
2026-02-13,21103371,A672,758
2026-02-13,21103371,A673,482
2026-02-13,21103371,A680,226
2026-02-13,21103371,A715,125
2026-02-13,21103371,A716,104
2026-02-13,21103371,C563,3
2026-02-13,21103371,C810,109
2026-02-13,21103371,C816,466
2026-02-13,21103371,C937,24
2026-02-13,21103371,D191,2
2026-02-13,21103371,D767,4
2026-02-13,21103371,D901,110
2026-02-13,21103371,E295,135
2026-02-13,21103371,E564,8
2026-02-13,21103371,E568,2
2026-02-13,21103371,E569,9
2026-02-13,21103372,A668,366
2026-02-13,21103372,A672,416
2026-02-13,21103372,A673,965
2026-02-13,21103372,A680,149
2026-02-13,21103372,A715,164
2026-02-13,21103372,A716,84
2026-02-13,21103372,C810,154
2026-02-13,21103372,C816,511
2026-02-13,21103372,C819,0
2026-02-13,21103372,C937,26
2026-02-13,21103372,D191,2
2026-02-13,21103372,D767,10
2026-02-13,21103372,D901,102
2026-02-13,21103372,E556,77
2026-02-13,21103372,E564,21
