material,location,delegate_line,prd_rate,min_batch,rv,ptf,lsk,day,MCT
8084234201,A888,LGDK,511,1022,1,1,15,2,0
8084233901,A888,LGDK,730,1460,1,1,15,2,0
8084232501,A888,LGDK,958,1916,1,1,15,2,0
8084340301,A888,LGDK,958,1916,1,1,15,2,0
8084559201,A888,LGDK,696,1393,1,1,15,2,0
8085806701,A888,LGDK,1226,2452,1,1,15,2,0
8079964701,A888,LGDK,989,1978,1,1,10,2,0
8080407701,A888,LGDK,1277,2555,1,1,10,2,0
8078436601,A888,LGDK,730,1460,1,1,10,2,0
8078436901,A888,LGDK,450,901,1,1,10,2,0
8085807601,A888,LGDK,929,1858,1,1,10,2,0
80842331,A888,LGDK,841,1683,1,1,20,2,0
80842335,A888,LGDK,612,1224,1,1,20,2,0
80842336,A888,LGDK,439,878,1,1,20,2,0
80845594,A888,LGDK,589,1179,1,1,20,2,0
80858072,A888,LGDK,1082,2164,1,1,20,2,0
80784379,A888,LGDK,303,606,1,1,15,2,0
80799648,A888,LGDK,776,1553,1,1,15,2,0
80804078,A888,LGDK,1010,2020,1,1,15,2,0
80784377,A888,LGDK,360,721,1,1,15,2,0
80784365,A888,LGDK,582,1165,1,1,15,2,0
80858075,A888,LGDK,739,1478,1,1,15,2,0
80842334,A888,LGDW,901,1803,1,1,20,2,0
80842338,A888,LGDW,659,1318,1,1,20,2,0
80845595,A888,LGDW,638,1277,1,1,20,2,0
80845184,A888,LGDW,832,1664,1,1,30,2,0
80845182,A888,LGDW,992,1984,1,1,30,2,0
80842340,A888,LGDW,817,1635,1,1,20,2,0
80842337,A888,LGDW,567,1135,1,1,20,2,0
80842328,A888,LGDW,1095,2190,1,1,20,2,0
80843405,A888,LGDW,1095,2190,1,1,20,2,0
80845590,A888,LGDW,696,1393,1,1,20,2,0
80858064,A888,LGDW,1104,2209,1,1,20,2,0
80880379,A888,LGDW,1215,2430,1,1,20,2,0
80786340,A888,LGDW,365,730,1,1,10,2,0
80799646,A888,LGDW,1226,2452,1,1,10,2,0
80804079,A888,LGDW,1215,2430,1,1,10,2,0
80784368,A888,LGDW,901,1803,1,1,10,2,0
80858069,A888,LGDW,1135,2271,1,1,10,2,0
80799645,A888,LGDW,1012,2025,1,1,15,2,0
80784376,A888,LGDW,623,1246,1,1,15,2,0
80784370,A888,LGDW,759,1518,1,1,15,2,0
80858074,A888,LGDW,972,1944,1,1,15,2,0
80880374,A888,LGDW,1056,2113,1,1,15,2,0
80842342,A888,LGDW,511,1022,1,1,15,2,0
