[2026-02-07 00:05:23] ============================================================
[2026-02-07 00:05:23] Auto-monitor started
[2026-02-07 00:05:23] Checking every 60s for completion of both runs
[2026-02-07 00:05:23] ============================================================
[2026-02-07 00:05:23] DB mode: day 29/76  | File mode: day 5/76 
[2026-02-07 00:06:23] DB mode: day 30/76  | File mode: day 5/76 
[2026-02-07 00:07:23] DB mode: day 30/76  | File mode: day 6/76 
[2026-02-07 00:08:23] DB mode: day 30/76  | File mode: day 6/76 
[2026-02-07 00:09:23] DB mode: day 32/76  | File mode: day 6/76 
[2026-02-07 00:10:23] DB mode: day 32/76  | File mode: day 7/76 
[2026-02-07 00:11:23] DB mode: day 34/76  | File mode: day 7/76 
[2026-02-07 00:12:23] DB mode: day 34/76  | File mode: day 7/76 
[2026-02-07 00:13:23] DB mode: day 34/76  | File mode: day 8/76 
[2026-02-07 00:14:23] DB mode: day 35/76  | File mode: day 8/76 
[2026-02-07 00:15:23] DB mode: day 35/76  | File mode: day 8/76 
[2026-02-07 00:16:24] DB mode: day 35/76  | File mode: day 9/76 
[2026-02-07 00:17:24] DB mode: day 37/76  | File mode: day 9/76 
[2026-02-07 00:18:24] DB mode: day 37/76  | File mode: day 9/76 
[2026-02-07 00:19:24] DB mode: day 38/76  | File mode: day 10/76 
[2026-02-07 00:20:24] DB mode: day 38/76  | File mode: day 10/76 
[2026-02-07 00:21:24] DB mode: day 38/76  | File mode: day 10/76 
[2026-02-07 00:22:24] DB mode: day 40/76  | File mode: day 10/76 
[2026-02-07 00:23:24] DB mode: day 40/76  | File mode: day 11/76 
[2026-02-07 00:24:24] DB mode: day 42/76  | File mode: day 11/76 
[2026-02-07 00:25:24] DB mode: day 42/76  | File mode: day 11/76 
[2026-02-07 00:26:24] DB mode: day 42/76  | File mode: day 12/76 
[2026-02-07 00:27:24] DB mode: day 43/76  | File mode: day 12/76 
[2026-02-07 00:28:24] DB mode: day 43/76  | File mode: day 12/76 
[2026-02-07 00:29:24] DB mode: day 45/76  | File mode: day 13/76 
[2026-02-07 00:30:24] DB mode: day 45/76  | File mode: day 13/76 
[2026-02-07 00:31:24] DB mode: day 45/76  | File mode: day 13/76 
[2026-02-07 00:32:24] DB mode: day 46/76  | File mode: day 14/76 
[2026-02-07 00:33:24] DB mode: day 46/76  | File mode: day 14/76 
[2026-02-07 00:34:24] DB mode: day 46/76  | File mode: day 14/76 
[2026-02-07 00:35:24] DB mode: day 48/76  | File mode: day 14/76 
[2026-02-07 00:36:24] DB mode: day 48/76  | File mode: day 15/76 
[2026-02-07 00:37:24] DB mode: day 50/76  | File mode: day 15/76 
[2026-02-07 00:38:24] DB mode: day 50/76  | File mode: day 15/76 
[2026-02-07 00:39:24] DB mode: day 50/76  | File mode: day 16/76 
[2026-02-07 00:40:24] DB mode: day 51/76  | File mode: day 16/76 
[2026-02-07 00:41:24] DB mode: day 51/76  | File mode: day 16/76 
[2026-02-07 00:42:24] DB mode: day 53/76  | File mode: day 17/76 
[2026-02-07 00:43:24] DB mode: day 53/76  | File mode: day 17/76 
[2026-02-07 00:44:24] DB mode: day 53/76  | File mode: day 17/76 
[2026-02-07 00:45:24] DB mode: day 54/76  | File mode: day 18/76 
[2026-02-07 00:46:24] DB mode: day 54/76  | File mode: day 18/76 
[2026-02-07 00:47:24] DB mode: day 56/76  | File mode: day 18/76 
[2026-02-07 00:48:24] DB mode: day 56/76  | File mode: day 19/76 
[2026-02-07 00:49:24] DB mode: day 56/76  | File mode: day 19/76 
[2026-02-07 00:50:24] DB mode: day 58/76  | File mode: day 19/76 
[2026-02-07 00:51:24] DB mode: day 58/76  | File mode: day 19/76 
[2026-02-07 00:52:24] DB mode: day 59/76  | File mode: day 20/76 
[2026-02-07 00:53:24] DB mode: day 59/76  | File mode: day 20/76 
[2026-02-07 00:54:24] DB mode: day 59/76  | File mode: day 20/76 
[2026-02-07 00:55:24] DB mode: day 61/76  | File mode: day 21/76 
[2026-02-07 00:56:24] DB mode: day 61/76  | File mode: day 21/76 
[2026-02-07 00:57:24] DB mode: day 61/76  | File mode: day 21/76 
[2026-02-07 00:58:24] DB mode: day 63/76  | File mode: day 22/76 
[2026-02-07 00:59:24] DB mode: day 63/76  | File mode: day 22/76 
[2026-02-07 01:00:24] DB mode: day 64/76  | File mode: day 22/76 
[2026-02-07 01:01:24] DB mode: day 64/76  | File mode: day 23/76 
[2026-02-07 01:02:24] DB mode: day 64/76  | File mode: day 23/76 
[2026-02-07 01:03:24] DB mode: day 66/76  | File mode: day 23/76 
[2026-02-07 01:04:24] DB mode: day 66/76  | File mode: day 23/76 
[2026-02-07 01:05:24] DB mode: day 68/76  | File mode: day 24/76 
[2026-02-07 01:06:24] DB mode: day 68/76  | File mode: day 24/76 
[2026-02-07 01:07:24] DB mode: day 68/76  | File mode: day 24/76 
[2026-02-07 01:08:24] DB mode: day 69/76  | File mode: day 25/76 
[2026-02-07 01:09:24] DB mode: day 69/76  | File mode: day 25/76 
[2026-02-07 01:10:24] DB mode: day 71/76  | File mode: day 25/76 
[2026-02-07 01:11:24] DB mode: day 71/76  | File mode: day 26/76 
[2026-02-07 01:12:24] DB mode: day 71/76  | File mode: day 26/76 
[2026-02-07 01:13:24] DB mode: day 73/76  | File mode: day 26/76 
[2026-02-07 01:14:24] DB mode: day 73/76  | File mode: day 26/76 
[2026-02-07 01:15:24] DB mode: day 73/76  | File mode: day 27/76 
[2026-02-07 01:16:24] DB mode: day 75/76  | File mode: day 27/76 
[2026-02-07 01:17:24] DB mode: day 75/76  | File mode: day 27/76 
[2026-02-07 01:18:24] DB mode: day 75/76  | File mode: day 28/76 
[2026-02-07 01:19:24] DB mode: day 75/76  | File mode: day 28/76 
[2026-02-07 01:20:24] DB mode: day 75/76  | File mode: day 28/76 
[2026-02-07 01:21:24] DB mode: day 75/76  | File mode: day 29/76 
[2026-02-07 01:22:24] DB mode: day 75/76  | File mode: day 29/76 
[2026-02-07 01:23:24] DB mode: day 75/76  | File mode: day 29/76 
[2026-02-07 01:24:24] DB mode: day 75/76  | File mode: day 29/76 
[2026-02-07 01:25:24] DB mode: day 75/76  | File mode: day 30/76 
[2026-02-07 01:26:24] DB mode: day 75/76  | File mode: day 30/76 
[2026-02-07 01:27:24] DB mode: day 75/76  | File mode: day 30/76 
[2026-02-07 01:28:24] DB mode: day 75/76  | File mode: day 31/76 
[2026-02-07 01:29:24] DB mode: day 75/76  | File mode: day 31/76 
[2026-02-07 01:30:24] DB mode: day 75/76  | File mode: day 31/76 
[2026-02-07 01:31:24] DB mode: day 75/76  | File mode: day 32/76 
[2026-02-07 01:32:24] DB mode: day 75/76  | File mode: day 32/76 
[2026-02-07 01:33:24] DB mode: day 75/76  | File mode: day 32/76 
[2026-02-07 01:34:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:35:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:36:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:37:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:38:24] DB mode: day 76/76 [DONE] | File mode: day 34/76 
[2026-02-07 01:39:25] DB mode: day 76/76 [DONE] | File mode: day 34/76 
[2026-02-07 01:40:25] DB mode: day 76/76 [DONE] | File mode: day 34/76 
[2026-02-07 01:41:25] DB mode: day 76/76 [DONE] | File mode: day 35/76 
[2026-02-07 01:42:25] DB mode: day 76/76 [DONE] | File mode: day 35/76 
[2026-02-07 01:43:25] DB mode: day 76/76 [DONE] | File mode: day 35/76 
[2026-02-07 01:44:25] DB mode: day 76/76 [DONE] | File mode: day 36/76 
[2026-02-07 01:45:25] DB mode: day 76/76 [DONE] | File mode: day 36/76 
