date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-10-09,80784365,A888,A668,189,80784365|A888|A668|2025-10-08|net demand for normal|000190,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,201,80784365|A888|A668|2025-10-09|net demand for normal|000606,2025-10-09,2025-10-14,delivery_shipment
2025-10-09,80784365,A888,A668,48,80784365|A888|A668|2025-10-08|net demand for AO|000167,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,50,80784365|A888|A668|2025-10-08|net demand for AO|000168,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,53,80784365|A888|A668|2025-10-08|net demand for AO|000169,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,43,80784365|A888|A668|2025-10-09|net demand for AO|000582,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,45,80784365|A888|A668|2025-10-09|net demand for AO|000583,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,48,80784365|A888|A668|2025-10-09|net demand for AO|000584,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,50,80784365|A888|A668|2025-10-09|net demand for AO|000585,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,18,80784365|A888|A668|2025-10-08|net demand for forecast|000170,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,18,80784365|A888|A668|2025-10-08|net demand for forecast|000171,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,37,80784365|A888|A668|2025-10-08|net demand for forecast|000172,2025-10-09,2025-10-14,delivery_shipment
2025-10-09,80784365,A888,A668,37,80784365|A888|A668|2025-10-08|net demand for forecast|000173,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,37,80784365|A888|A668|2025-10-08|net demand for forecast|000174,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,37,80784365|A888|A668|2025-10-08|net demand for forecast|000175,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,37,80784365|A888|A668|2025-10-08|net demand for forecast|000176,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,38,80784365|A888|A668|2025-10-08|net demand for forecast|000177,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,38,80784365|A888|A668|2025-10-08|net demand for forecast|000178,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,47,80784365|A888|A668|2025-10-08|net demand for forecast|000179,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,47,80784365|A888|A668|2025-10-08|net demand for forecast|000180,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,48,80784365|A888|A668|2025-10-08|net demand for forecast|000181,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,48,80784365|A888|A668|2025-10-08|net demand for forecast|000182,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,58,80784365|A888|A668|2025-10-08|net demand for forecast|000183,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,64,80784365|A888|A668|2025-10-08|net demand for forecast|000184,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,64,80784365|A888|A668|2025-10-08|net demand for forecast|000185,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,64,80784365|A888|A668|2025-10-08|net demand for forecast|000186,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,64,80784365|A888|A668|2025-10-08|net demand for forecast|000187,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,64,80784365|A888|A668|2025-10-08|net demand for forecast|000188,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80784365,A888,A668,64,80784365|A888|A668|2025-10-08|net demand for forecast|000189,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000334,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000335,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000336,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000337,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000338,2025-10-09,2025-10-14,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000339,2025-10-09,2025-10-14,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000340,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000341,2025-10-09,2025-10-13,delivery_shipment
2025-10-09,80845182,A888,A668,1,80845182|A888|A668|2025-10-08|net demand for forecast|000342,2025-10-09,2025-10-13,delivery_shipment
