date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-10-07,80784376,A668,1671,0,0,149,0.0,1522,1522.0,0.0
2025-10-07,8084340301,D191,124,0,0,0,0.0,124,124.0,0.0
2025-10-07,80843405,A668,1019,0,0,203,0.0,816,816.0,0.0
2025-10-07,80845595,A680,324,0,0,0,0.0,324,324.0,0.0
2025-10-07,80804079,D767,64,0,0,11,0.0,53,53.0,0.0
2025-10-07,8084232501,D767,91,0,0,12,0.0,79,79.0,0.0
2025-10-07,8078436601,A680,1288,0,0,0,0.0,1288,1288.0,0.0
2025-10-07,80842342,D191,343,0,0,26,0.0,317,317.0,0.0
2025-10-07,80858069,A668,3786,0,0,168,0.0,3618,3618.0,0.0
2025-10-07,80799645,D767,215,0,0,22,0.0,193,193.0,0.0
2025-10-07,80842328,D767,519,0,0,7,0.0,512,512.0,0.0
2025-10-07,80799646,C563,164,0,0,35,0.0,129,129.0,0.0
2025-10-07,8078436601,E467,110,0,0,0,0.0,110,110.0,0.0
2025-10-07,80842325,C563,114,0,0,17,0.0,97,97.0,0.0
2025-10-07,80784370,A668,4972,0,0,518,0.0,4454,4454.0,0.0
2025-10-07,80845182,C816,3432,0,0,298,0.0,3134,3134.0,0.0
2025-10-07,8085807601,C816,3579,0,0,45,0.0,3534,3534.0,0.0
2025-10-07,80784366,A680,1288,0,0,0,0.0,1288,1288.0,0.0
2025-10-07,80843405,C816,52,0,0,52,0.0,0,0.0,0.0
2025-10-07,80799646,C816,3547,0,0,131,0.0,3416,3416.0,0.0
2025-10-07,80880379,C816,6625,0,0,57,0.0,6568,6568.0,0.0
2025-10-07,80784366,E467,110,0,0,0,0.0,110,110.0,0.0
2025-10-07,80784376,D191,816,0,0,44,0.0,772,772.0,0.0
2025-10-07,80842325,C816,4932,0,0,861,0.0,4071,4071.0,0.0
2025-10-07,8078436601,D767,412,0,0,16,0.0,396,396.0,0.0
2025-10-07,80799647,A668,3121,0,0,159,0.0,2962,2962.0,0.0
2025-10-07,80804079,A668,4334,0,0,0,0.0,4334,4334.0,0.0
2025-10-07,80845182,A680,562,0,0,0,0.0,562,562.0,0.0
2025-10-07,80842338,A668,751,0,0,60,0.0,691,691.0,0.0
2025-10-07,8084232501,A668,4952,0,0,253,0.0,4699,4699.0,0.0
2025-10-07,80804077,A668,4595,0,0,207,0.0,4388,4388.0,0.0
2025-10-07,80799645,A668,1064,0,0,195,0.0,869,869.0,0.0
2025-10-07,8085807601,A680,596,0,0,0,0.0,596,596.0,0.0
2025-10-07,80842339,A680,811,0,0,0,0.0,811,811.0,0.0
2025-10-07,8078436901,A668,2054,0,0,28,0.0,2026,2026.0,0.0
2025-10-07,8084234201,A680,24,0,0,0,0.0,24,24.0,0.0
2025-10-07,80784366,D767,416,0,0,13,0.0,403,403.0,0.0
2025-10-07,8080407701,A668,4668,0,0,130,0.0,4538,4538.0,0.0
2025-10-07,8078436601,E295,320,0,0,0,0.0,320,320.0,0.0
2025-10-07,80842328,C563,239,0,0,32,0.0,207,207.0,0.0
2025-10-07,80845184,A668,1239,0,0,16,0.0,1223,1223.0,0.0
2025-10-07,80845182,D767,478,0,0,15,0.0,463,463.0,0.0
2025-10-07,80784369,C816,1607,0,0,199,676.0,732,732.0,0.0
2025-10-07,8078436601,A668,1087,0,0,448,0.0,639,639.0,0.0
