date,material,location,quantity,type
2025-10-08,80784365,A668,0,customer_shipment
2025-10-08,80784365,A888,449,customer_shipment
2025-10-08,80784365,C816,0,customer_shipment
2025-10-08,80784365,D767,0,customer_shipment
2025-10-08,80784366,A668,0,customer_shipment
2025-10-08,80784366,A888,0,customer_shipment
2025-10-08,80784366,C816,134,customer_shipment
2025-10-08,80784366,D767,17,customer_shipment
2025-10-08,8078436601,A668,639,customer_shipment
2025-10-08,8078436601,A888,0,customer_shipment
2025-10-08,8078436601,C816,120,customer_shipment
2025-10-08,8078436601,D767,29,customer_shipment
2025-10-08,80784368,A668,106,customer_shipment
2025-10-08,80784368,A888,0,customer_shipment
2025-10-08,80784368,C563,15,customer_shipment
2025-10-08,80784368,C816,472,customer_shipment
2025-10-08,80784368,D191,2,customer_shipment
2025-10-08,80784368,D767,0,customer_shipment
2025-10-08,80784369,A668,121,customer_shipment
2025-10-08,80784369,A888,0,customer_shipment
2025-10-08,80784369,C563,0,customer_shipment
2025-10-08,80784369,C816,228,customer_shipment
2025-10-08,80784369,D191,0,customer_shipment
2025-10-08,80784369,D767,0,customer_shipment
2025-10-08,80784369,E295,0,customer_shipment
2025-10-08,80784369,E467,0,customer_shipment
2025-10-08,8078436901,A668,0,customer_shipment
2025-10-08,8078436901,A888,0,customer_shipment
2025-10-08,8078436901,C563,0,customer_shipment
2025-10-08,8078436901,C816,272,customer_shipment
2025-10-08,8078436901,D191,0,customer_shipment
2025-10-08,8078436901,D767,0,customer_shipment
2025-10-08,8078436901,E295,0,customer_shipment
2025-10-08,8078436901,E467,0,customer_shipment
2025-10-08,80784370,A668,868,customer_shipment
2025-10-08,80784370,A888,0,customer_shipment
2025-10-08,80784370,C563,0,customer_shipment
2025-10-08,80784370,C816,249,customer_shipment
2025-10-08,80784370,D191,0,customer_shipment
2025-10-08,80784370,D767,15,customer_shipment
2025-10-08,80784376,A668,500,customer_shipment
2025-10-08,80784376,A888,0,customer_shipment
2025-10-08,80784376,C563,18,customer_shipment
2025-10-08,80784376,C816,403,customer_shipment
2025-10-08,80784376,D191,31,customer_shipment
2025-10-08,80784376,D767,0,customer_shipment
2025-10-08,80784376,E295,30,customer_shipment
2025-10-08,80784377,A668,0,customer_shipment
2025-10-08,80784377,A888,0,customer_shipment
2025-10-08,80784377,C563,0,customer_shipment
2025-10-08,80784377,C816,0,customer_shipment
2025-10-08,80784377,D191,0,customer_shipment
2025-10-08,80784377,D767,0,customer_shipment
2025-10-08,80784377,E295,0,customer_shipment
2025-10-08,80784379,A668,0,customer_shipment
2025-10-08,80784379,A672,0,customer_shipment
2025-10-08,80784379,A673,0,customer_shipment
2025-10-08,80784379,A680,0,customer_shipment
2025-10-08,80784379,A715,0,customer_shipment
2025-10-08,80784379,A716,0,customer_shipment
2025-10-08,80784379,A888,0,customer_shipment
2025-10-08,80784379,C563,0,customer_shipment
2025-10-08,80784379,C816,0,customer_shipment
2025-10-08,80784379,C819,0,customer_shipment
2025-10-08,80784379,D191,0,customer_shipment
2025-10-08,80784379,D767,0,customer_shipment
2025-10-08,80786340,A668,263,customer_shipment
2025-10-08,80786340,A888,0,customer_shipment
2025-10-08,80786340,C563,1,customer_shipment
2025-10-08,80786340,C816,260,customer_shipment
2025-10-08,80786340,D191,22,customer_shipment
2025-10-08,80786340,D767,0,customer_shipment
2025-10-08,80786340,E295,40,customer_shipment
2025-10-08,80786340,E467,13,customer_shipment
2025-10-08,80799645,A668,63,customer_shipment
2025-10-08,80799645,A888,0,customer_shipment
2025-10-08,80799645,C563,11,customer_shipment
2025-10-08,80799645,C816,606,customer_shipment
2025-10-08,80799645,D191,30,customer_shipment
2025-10-08,80799645,D767,23,customer_shipment
2025-10-08,80799646,A668,376,customer_shipment
2025-10-08,80799646,A888,0,customer_shipment
2025-10-08,80799646,C563,24,customer_shipment
2025-10-08,80799646,C816,313,customer_shipment
2025-10-08,80799646,D191,0,customer_shipment
2025-10-08,80799646,D767,5,customer_shipment
2025-10-08,80799647,A668,19,customer_shipment
2025-10-08,80799647,A888,0,customer_shipment
2025-10-08,80799647,C563,0,customer_shipment
2025-10-08,80799647,C816,147,customer_shipment
2025-10-08,80799647,D191,0,customer_shipment
2025-10-08,80799647,D767,11,customer_shipment
2025-10-08,8079964701,A668,324,customer_shipment
2025-10-08,8079964701,A888,0,customer_shipment
2025-10-08,8079964701,C563,0,customer_shipment
2025-10-08,8079964701,C816,125,customer_shipment
2025-10-08,8079964701,D191,0,customer_shipment
2025-10-08,8079964701,D767,0,customer_shipment
2025-10-08,80799648,A668,0,customer_shipment
2025-10-08,80799648,A888,0,customer_shipment
2025-10-08,80799648,C563,0,customer_shipment
2025-10-08,80799648,C816,0,customer_shipment
2025-10-08,80799648,D191,0,customer_shipment
2025-10-08,80799648,D767,0,customer_shipment
2025-10-08,80804077,A668,10,customer_shipment
2025-10-08,80804077,A888,0,customer_shipment
2025-10-08,80804077,C816,25,customer_shipment
2025-10-08,80804077,D191,0,customer_shipment
2025-10-08,80804077,D767,4,customer_shipment
2025-10-08,8080407701,A668,31,customer_shipment
2025-10-08,8080407701,A888,0,customer_shipment
2025-10-08,8080407701,C816,69,customer_shipment
2025-10-08,8080407701,D191,0,customer_shipment
2025-10-08,8080407701,D767,0,customer_shipment
2025-10-08,80804078,A668,0,customer_shipment
2025-10-08,80804078,A888,0,customer_shipment
2025-10-08,80804078,C816,0,customer_shipment
2025-10-08,80804078,D191,0,customer_shipment
2025-10-08,80804078,D767,0,customer_shipment
2025-10-08,80804079,A668,379,customer_shipment
2025-10-08,80804079,A888,0,customer_shipment
2025-10-08,80804079,C816,178,customer_shipment
2025-10-08,80804079,D191,4,customer_shipment
2025-10-08,80804079,D767,10,customer_shipment
2025-10-08,80842325,A668,348,customer_shipment
2025-10-08,80842325,A888,0,customer_shipment
2025-10-08,80842325,C563,37,customer_shipment
