date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-12-25,21139445,C816,A672,1,21139445|C816|A672|2025-12-24|net demand for forecast|000001,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21414747,C816,A672,43,21414747|C816|A672|2025-12-24|net demand for forecast|000008,2025-12-25,2026-01-03,delivery_shipment
2025-12-25,21419485,C816,A672,10,21419485|C816|A672|2025-12-24|net demand for forecast|000009,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21419490,C816,A672,73,21419490|C816|A672|2025-12-24|net demand for forecast|000010,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21428668,C816,A672,111,21428668|C816|A672|2025-12-24|net demand for forecast|000011,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442422,C816,A672,96,21442422|C816|A672|2025-12-24|net demand for forecast|000013,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442896,C816,A672,5,21442896|C816|A672|2025-12-24|net demand for forecast|000014,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442897,C816,A672,5,21442897|C816|A672|2025-12-24|net demand for forecast|000015,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21447518,C816,A672,1,21447518|C816|A672|2025-12-24|net demand for forecast|000016,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000018,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000019,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000020,2025-12-25,2026-01-03,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000021,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000022,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000023,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804698,C816,A672,1,80804698|C816|A672|2025-12-24|net demand for forecast|000024,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,1,80804703|C816|A672|2025-12-24|net demand for forecast|000032,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,1,80804703|C816|A672|2025-12-24|net demand for forecast|000033,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,1,80804703|C816|A672|2025-12-24|net demand for forecast|000034,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,1,80804703|C816|A672|2025-12-24|net demand for forecast|000035,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,1,80804703|C816|A672|2025-12-24|net demand for forecast|000036,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,1,80804703|C816|A672|2025-12-24|net demand for forecast|000037,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,80804703,C816,A672,2,80804703|C816|A672|2025-12-24|net demand for forecast|000038,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21414747,C816,A672,49,21414747|C816|A672|2025-12-25|net demand for forecast|000073,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21414747,C816,A672,49,21414747|C816|A672|2025-12-25|net demand for forecast|000074,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21419485,C816,A672,46,21419485|C816|A672|2025-12-25|net demand for forecast|000075,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21419485,C816,A672,46,21419485|C816|A672|2025-12-25|net demand for forecast|000076,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21419490,C816,A672,12,21419490|C816|A672|2025-12-25|net demand for forecast|000077,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21419490,C816,A672,12,21419490|C816|A672|2025-12-25|net demand for forecast|000078,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21428668,C816,A672,1,21428668|C816|A672|2025-12-25|net demand for forecast|000081,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21428668,C816,A672,1,21428668|C816|A672|2025-12-25|net demand for forecast|000082,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442422,C816,A672,83,21442422|C816|A672|2025-12-25|net demand for forecast|000083,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442422,C816,A672,83,21442422|C816|A672|2025-12-25|net demand for forecast|000084,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442896,C816,A672,30,21442896|C816|A672|2025-12-25|net demand for forecast|000085,2025-12-25,2026-01-03,delivery_shipment
2025-12-25,21442896,C816,A672,30,21442896|C816|A672|2025-12-25|net demand for forecast|000086,2025-12-25,2026-01-03,delivery_shipment
2025-12-25,21442897,C816,A672,29,21442897|C816|A672|2025-12-25|net demand for forecast|000087,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21442897,C816,A672,29,21442897|C816|A672|2025-12-25|net demand for forecast|000088,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21447518,C816,A672,3,21447518|C816|A672|2025-12-25|net demand for forecast|000089,2025-12-25,2026-01-02,delivery_shipment
2025-12-25,21447518,C816,A672,3,21447518|C816|A672|2025-12-25|net demand for forecast|000090,2025-12-25,2026-01-02,delivery_shipment
