date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-12-24,21377504,C816,15,0,0,6,0,9,9,0
2025-12-24,21127730,A668,215,0,0,14,0,201,201,0
2025-12-24,80807093,E569,1,0,0,0,0,1,1,0
2025-12-24,21132988,D767,174,0,0,18,0,156,156,0
2025-12-24,80863643,C816,185,0,0,0,0,185,185,0
2025-12-24,80812845,E569,147,0,0,2,0,145,145,0
2025-12-24,80804705,C563,100,0,0,6,0,94,94,0
2025-12-24,80848024,C819,94,0,0,1,0,93,93,0
2025-12-24,21255844,C819,5,0,0,0,0,5,5,0
2025-12-24,21314602,E564,15,0,0,0,0,15,15,0
2025-12-24,80848031,C937,29,0,0,2,0,27,27,0
2025-12-24,21419500,A668,49,0,0,0,0,49,49,0
2025-12-24,21419490,A680,361,0,0,0,0,361,361,0
2025-12-24,21118867,E569,1,0,0,0,0,1,1,0
2025-12-24,80807093,A680,10,0,0,0,0,10,10,0
2025-12-24,80812845,A680,712,0,0,0,0,712,712,0
2025-12-24,80838165,A672,99,0,0,0,0,99,99,0
2025-12-24,21255844,A672,77,0,0,2,0,75,75,0
2025-12-24,80807089,A716,208,0,0,0,0,208,208,0
2025-12-24,80807102,D767,61,0,0,6,0,55,55,0
2025-12-24,21354246,A672,75,0,0,14,0,61,61,0
2025-12-24,21137866,D191,30,0,0,1,0,29,29,0
2025-12-24,80804136,D901,111,0,0,6,0,105,105,0
2025-12-24,80812845,C563,157,0,0,0,0,157,157,0
2025-12-24,80804701,D901,89,0,0,3,0,86,86,0
2025-12-24,21121751,A673,214,0,0,10,0,204,204,0
2025-12-24,21307836,C816,51,0,0,13,0,38,38,0
2025-12-24,80884850,A672,874,0,0,0,0,874,874,0
2025-12-24,21269899,C819,5,0,0,0,0,5,5,0
2025-12-24,21118867,A680,10,0,0,1,0,9,9,0
2025-12-24,21357275,A716,53,0,0,3,0,50,50,0
2025-12-24,80854083,A715,44,0,0,0,0,44,44,0
2025-12-24,80807118,E568,7,0,0,0,0,7,7,0
2025-12-24,21132758,D767,58,0,0,1,0,57,57,0
2025-12-24,80807120,A673,651,0,0,0,0,651,651,0
2025-12-24,21377504,A680,2,0,0,0,0,2,2,0
2025-12-24,80807095,C937,150,0,0,9,0,141,141,0
2025-12-24,80885919,A680,82,0,0,0,0,82,82,0
2025-12-24,21137621,C816,1086,0,0,14,0,1072,1072,0
2025-12-24,80807116,A668,1340,0,0,0,0,1340,1340,0
2025-12-24,21275914,E556,1,0,0,0,0,1,1,0
2025-12-24,80793614,A715,42,0,0,0,0,42,42,0
2025-12-24,80838162,C816,16,0,0,0,0,16,16,0
2025-12-24,80812839,A715,38,0,0,0,0,38,38,0
2025-12-24,21133312,E569,6,0,0,0,0,6,6,0
2025-12-24,21366842,A672,465,0,0,179,0,286,286,0
2025-12-24,21314876,A668,37,0,0,4,0,33,33,0
2025-12-24,80848024,A668,257,0,0,0,0,257,257,0
2025-12-24,80807097,E569,18,0,0,1,0,17,17,0
2025-12-24,21155895,C937,14,0,0,0,0,14,14,0
2025-12-24,80807117,A668,4,0,0,0,0,4,4,0
2025-12-24,80812103,A716,93,0,0,0,0,93,93,0
2025-12-24,80807105,E556,137,0,0,0,0,137,137,0
2025-12-24,21162696,A716,14,0,0,0,0,14,14,0
2025-12-24,80868100,A672,197,0,0,0,0,197,197,0
2025-12-24,80812099,A716,82,0,0,0,0,82,82,0
2025-12-24,21128067,A715,118,0,0,0,0,118,118,0
2025-12-24,80804136,C819,82,0,0,0,0,82,82,0
2025-12-24,80804129,A716,131,0,0,0,0,131,131,0
2025-12-24,80804701,C819,8,0,0,0,0,8,8,0
2025-12-24,21133312,A680,170,0,0,18,0,152,152,0
2025-12-24,80838162,E569,2,0,0,0,0,2,2,0
2025-12-24,80840976,C816,447,0,0,0,0,447,447,0
2025-12-24,80807097,A680,54,0,0,0,0,54,54,0
2025-12-24,21127800,A672,1979,0,0,12,0,1967,1967,0
2025-12-24,21315350,C937,244,0,0,15,0,229,229,0
2025-12-24,80804135,C937,137,0,0,14,0,123,123,0
2025-12-24,80804136,A672,1490,0,0,0,0,1490,1490,0
2025-12-24,80804701,A672,224,0,0,10,0,214,214,0
2025-12-24,21137866,E556,50,0,0,2,0,48,48,0
2025-12-24,80804132,E467,50,0,0,0,0,50,50,0
2025-12-24,21132752,C816,373,0,0,4,0,369,369,0
2025-12-24,80838162,A680,47,0,0,0,0,47,47,0
2025-12-24,21143110,A716,1,0,0,0,0,1,1,0
2025-12-24,80812110,E556,45,0,0,3,0,42,42,0
2025-12-24,21142560,A672,1880,0,0,0,0,1880,1880,0
2025-12-24,21314602,E568,1,0,0,0,0,1,1,0
2025-12-24,80865910,A672,23,0,0,0,0,23,23,0
2025-12-24,80812338,A672,22,0,0,0,0,22,22,0
2025-12-24,80807118,A673,548,0,0,0,0,548,548,0
2025-12-24,21315474,A716,99,0,0,18,0,81,81,0
2025-12-24,80791223,A673,289,0,0,0,0,289,289,0
2025-12-24,21314594,E569,6,0,0,0,0,6,6,0
2025-12-24,21121751,A715,7,0,0,0,0,7,7,0
2025-12-24,80804706,C937,7,0,0,1,0,6,6,0
2025-12-24,21098519,D767,60,0,0,2,0,58,58,0
2025-12-24,80848023,E556,15,0,0,1,0,14,14,0
2025-12-24,21029016,C937,34,0,0,0,0,34,34,0
