transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21139445|C816|A672|2025-12-24|net demand for forecast|000001_transit_20251225-C816-A672-Train-#1,2025-12-26,21139445,C816,A672,2025-12-25,2026-01-02,1,21139445|C816|A672|2025-12-24|net demand for forecast|000001,20251225-C816-A672-Train-#1
21414747|C816|A672|2025-12-24|net demand for forecast|000008_transit_20251225-C816-A672-Train-#1,2025-12-26,21414747,C816,A672,2025-12-25,2026-01-03,43,21414747|C816|A672|2025-12-24|net demand for forecast|000008,20251225-C816-A672-Train-#1
21419485|C816|A672|2025-12-24|net demand for forecast|000009_transit_20251225-C816-A672-Train-#1,2025-12-26,21419485,C816,A672,2025-12-25,2026-01-02,10,21419485|C816|A672|2025-12-24|net demand for forecast|000009,20251225-C816-A672-Train-#1
21419490|C816|A672|2025-12-24|net demand for forecast|000010_transit_20251225-C816-A672-Train-#1,2025-12-26,21419490,C816,A672,2025-12-25,2026-01-02,73,21419490|C816|A672|2025-12-24|net demand for forecast|000010,20251225-C816-A672-Train-#1
21428668|C816|A672|2025-12-24|net demand for forecast|000011_transit_20251225-C816-A672-Train-#1,2025-12-26,21428668,C816,A672,2025-12-25,2026-01-02,111,21428668|C816|A672|2025-12-24|net demand for forecast|000011,20251225-C816-A672-Train-#1
21442422|C816|A672|2025-12-24|net demand for forecast|000013_transit_20251225-C816-A672-Train-#1,2025-12-26,21442422,C816,A672,2025-12-25,2026-01-02,96,21442422|C816|A672|2025-12-24|net demand for forecast|000013,20251225-C816-A672-Train-#1
21442896|C816|A672|2025-12-24|net demand for forecast|000014_transit_20251225-C816-A672-Train-#1,2025-12-26,21442896,C816,A672,2025-12-25,2026-01-02,5,21442896|C816|A672|2025-12-24|net demand for forecast|000014,20251225-C816-A672-Train-#1
21442897|C816|A672|2025-12-24|net demand for forecast|000015_transit_20251225-C816-A672-Train-#1,2025-12-26,21442897,C816,A672,2025-12-25,2026-01-02,5,21442897|C816|A672|2025-12-24|net demand for forecast|000015,20251225-C816-A672-Train-#1
21447518|C816|A672|2025-12-24|net demand for forecast|000016_transit_20251225-C816-A672-Train-#1,2025-12-26,21447518,C816,A672,2025-12-25,2026-01-02,1,21447518|C816|A672|2025-12-24|net demand for forecast|000016,20251225-C816-A672-Train-#1
80804698|C816|A672|2025-12-24|net demand for forecast|000018_transit_20251225-C816-A672-Train-#1,2025-12-26,80804698,C816,A672,2025-12-25,2026-01-02,1,80804698|C816|A672|2025-12-24|net demand for forecast|000018,20251225-C816-A672-Train-#1
80804698|C816|A672|2025-12-24|net demand for forecast|000019_transit_20251225-C816-A672-Train-#1,2025-12-26,80804698,C816,A672,2025-12-25,2026-01-02,1,80804698|C816|A672|2025-12-24|net demand for forecast|000019,20251225-C816-A672-Train-#1
80804698|C816|A672|2025-12-24|net demand for forecast|000020_transit_20251225-C816-A672-Train-#1,2025-12-26,80804698,C816,A672,2025-12-25,2026-01-03,1,80804698|C816|A672|2025-12-24|net demand for forecast|000020,20251225-C816-A672-Train-#1
80804698|C816|A672|2025-12-24|net demand for forecast|000021_transit_20251225-C816-A672-Train-#1,2025-12-26,80804698,C816,A672,2025-12-25,2026-01-02,1,80804698|C816|A672|2025-12-24|net demand for forecast|000021,20251225-C816-A672-Train-#1
