date,material,location,quantity
2025-12-27,21029016,A668,86
2025-12-27,21029016,A672,564
2025-12-27,21029016,A673,245
2025-12-27,21029016,A680,78
2025-12-27,21029016,A715,19
2025-12-27,21029016,A716,33
2025-12-27,21029016,C810,5
2025-12-27,21029016,C816,180
2025-12-27,21029016,C819,7
2025-12-27,21029016,C937,33
2025-12-27,21029016,D767,30
2025-12-27,21029016,E556,102
2025-12-27,21029016,E564,55
2025-12-27,21029016,E568,4
2025-12-27,21029016,E569,23
2025-12-27,21098519,A668,617
2025-12-27,21098519,A672,1381
2025-12-27,21098519,A673,1182
2025-12-27,21098519,A680,330
2025-12-27,21098519,A715,189
2025-12-27,21098519,A716,136
2025-12-27,21098519,C810,301
2025-12-27,21098519,C816,1040
2025-12-27,21098519,C819,0
2025-12-27,21098519,C937,107
2025-12-27,21098519,D191,2
2025-12-27,21098519,D767,53
2025-12-27,21098519,D901,369
2025-12-27,21098519,E556,63
2025-12-27,21098519,E564,44
2025-12-27,21098519,E568,3
2025-12-27,21098519,E569,14
2025-12-27,21103371,A668,587
2025-12-27,21103371,A672,1013
2025-12-27,21103371,A673,1124
2025-12-27,21103371,A680,352
2025-12-27,21103371,A715,147
2025-12-27,21103371,A716,112
2025-12-27,21103371,C563,49
2025-12-27,21103371,C810,296
2025-12-27,21103371,C816,678
2025-12-27,21103371,C937,76
2025-12-27,21103371,D191,2
2025-12-27,21103371,D767,31
2025-12-27,21103371,D901,340
2025-12-27,21103371,E295,356
2025-12-27,21103371,E564,23
2025-12-27,21103371,E568,2
2025-12-27,21103371,E569,10
2025-12-27,21103372,A668,503
2025-12-27,21103372,A672,1051
2025-12-27,21103372,A673,1224
2025-12-27,21103372,A680,348
2025-12-27,21103372,A715,187
2025-12-27,21103372,A716,123
2025-12-27,21103372,C810,303
2025-12-27,21103372,C816,720
2025-12-27,21103372,C819,0
2025-12-27,21103372,C937,95
2025-12-27,21103372,D191,2
2025-12-27,21103372,D767,72
2025-12-27,21103372,D901,366
2025-12-27,21103372,E556,167
2025-12-27,21103372,E564,57
2025-12-27,21103372,E568,3
2025-12-27,21103372,E569,24
2025-12-27,21113405,A668,50
2025-12-27,21113405,A672,14
2025-12-27,21113405,A673,20
2025-12-27,21113405,A680,11
2025-12-27,21113405,A715,4
2025-12-27,21113405,A716,1
2025-12-27,21113405,C810,2
2025-12-27,21113405,C816,11
2025-12-27,21113405,C819,5
2025-12-27,21113405,C937,1
2025-12-27,21113405,D767,16
2025-12-27,21113405,D901,8
2025-12-27,21113405,E556,5
2025-12-27,21113405,E564,4
2025-12-27,21113405,E568,3
2025-12-27,21113405,E569,1
2025-12-27,21118864,A668,15
2025-12-27,21118864,A672,17
2025-12-27,21118864,A673,80
2025-12-27,21118864,A680,9
2025-12-27,21118864,A715,1
2025-12-27,21118864,A716,3
2025-12-27,21118864,C816,27
2025-12-27,21118864,C937,1
2025-12-27,21118864,D767,3
2025-12-27,21118864,D901,1
2025-12-27,21118864,E564,0
2025-12-27,21118867,A668,11
2025-12-27,21118867,A672,31
2025-12-27,21118867,A673,47
2025-12-27,21118867,A680,4
2025-12-27,21118867,A715,3
2025-12-27,21118867,A716,6
2025-12-27,21118867,C810,0
2025-12-27,21118867,C816,11
2025-12-27,21118867,C819,3
2025-12-27,21118867,C937,2
2025-12-27,21118867,D767,5
2025-12-27,21118867,D901,4
2025-12-27,21118867,E556,1
2025-12-27,21118867,E564,1
